Scene,Camera X,Camera Y,Camera Z
lego_y-,0.670893,0.8598089,-1.171718
lego_y-,0.6724423,0.8622025,-1.177958
lego_y-,0.6732509,0.8645062,-1.183709
lego_y-,0.6736591,0.8672292,-1.190661
lego_y-,0.6735356,0.869101,-1.195747
lego_y-,0.6732286,0.8707193,-1.199923
lego_y-,0.6723548,0.8724648,-1.203662
lego_y-,0.6716269,0.8740718,-1.20666
lego_y-,0.6709687,0.8760887,-1.209352
lego_y-,0.670023,0.8786241,-1.211547
lego_y-,0.66853,0.8812382,-1.213837
lego_y-,0.6671785,0.8832453,-1.215402
lego_y-,0.66571,0.8848104,-1.216074
lego_y-,0.6641793,0.8862423,-1.216486
lego_y-,0.6625179,0.8873415,-1.215839
lego_y-,0.6611429,0.8884389,-1.21568
lego_y-,0.6594859,0.88949,-1.21462
lego_y-,0.6574957,0.8909895,-1.212835
lego_y-,0.656192,0.8927805,-1.210737
lego_y-,0.6552517,0.894267,-1.209036
lego_y-,0.6543092,0.8959691,-1.206647
lego_y-,0.6538334,0.8975521,-1.204698
lego_y-,0.6534483,0.8990021,-1.202289
lego_y-,0.6530846,0.9003357,-1.199093
lego_y-,0.6529844,0.9014431,-1.194078
lego_y-,0.6538326,0.9018173,-1.191024
lego_y-,0.65527,0.9017236,-1.188906
lego_y-,0.6575029,0.9018237,-1.186463
lego_y-,0.6601501,0.9022851,-1.184117
lego_y-,0.6634305,0.9029199,-1.181157
lego_y-,0.666837,0.9037235,-1.177844
lego_y-,0.6729307,0.9046136,-1.172994
lego_y-,0.6783497,0.9049277,-1.169466
lego_y-,0.6845359,0.9049211,-1.166292
lego_y-,0.6910222,0.9045212,-1.164089
lego_y-,0.6980241,0.9037636,-1.162028
lego_y-,0.7059548,0.9027813,-1.159777
lego_y-,0.7138457,0.901737,-1.158042
lego_y-,0.7257561,0.9010441,-1.15473
lego_y-,0.7354379,0.901096,-1.152414
lego_y-,0.7449839,0.9014813,-1.150201
lego_y-,0.7538167,0.9023,-1.147608
lego_y-,0.7631952,0.9030651,-1.146014
lego_y-,0.7733868,0.9038951,-1.144313
lego_y-,0.7817186,0.9044365,-1.142383
lego_y-,0.7945781,0.9037217,-1.141238
lego_y-,0.8021915,0.9021636,-1.139073
lego_y-,0.8104725,0.8999888,-1.138118
lego_y-,0.818069,0.897612,-1.137616
lego_y-,0.8251917,0.8950285,-1.136817
lego_y-,0.8321425,0.8926244,-1.135527
lego_y-,0.8381056,0.8903039,-1.134317
lego_y-,0.8459295,0.8873699,-1.13226
lego_y-,0.8506564,0.8854622,-1.130907
lego_y-,0.8548116,0.8836674,-1.129805
lego_y-,0.8582324,0.8826747,-1.128701
lego_y-,0.8610216,0.8820071,-1.127789
lego_y-,0.8631386,0.8812605,-1.126717
lego_y-,0.8648773,0.8803646,-1.126491
lego_y-,0.866352,0.8790855,-1.126457
lego_y-,0.8664863,0.8780326,-1.12653
lego_y-,0.8664158,0.8771373,-1.126884
lego_y-,0.86572,0.8763217,-1.127304
lego_y-,0.8646277,0.8758392,-1.127716
lego_y-,0.8631698,0.87579,-1.128284
lego_y-,0.8615327,0.876662,-1.128966
lego_y-,0.8591011,0.8793557,-1.129817
lego_y-,0.8573125,0.8831646,-1.130739
lego_y-,0.8550341,0.8871572,-1.131258
lego_y-,0.8529469,0.8915743,-1.13237
lego_y-,0.8508288,0.8958578,-1.133312
lego_y-,0.8485138,0.8996835,-1.13426
lego_y-,0.8461621,0.9034346,-1.135389
lego_y-,0.8435915,0.9078415,-1.137706
lego_y-,0.841917,0.9108583,-1.139652
lego_y-,0.8413336,0.9135285,-1.142523
lego_y-,0.8388825,0.9162539,-1.142957
lego_y-,0.8360605,0.9183015,-1.142543
lego_y-,0.8336774,0.9199545,-1.142742
lego_y-,0.8312685,0.9214019,-1.142835
lego_y-,0.8288952,0.9229236,-1.143292
lego_y-,0.8280811,0.9230575,-1.144265
lego_y-,0.8265374,0.9238717,-1.145031
lego_y-,0.8253546,0.9247087,-1.145803
lego_y-,0.8240472,0.9251888,-1.146102
lego_y-,0.8230593,0.9253343,-1.146989
lego_y-,0.8218279,0.9255102,-1.147253
lego_y-,0.8205196,0.9259879,-1.147697
lego_y-,0.8195782,0.9265679,-1.147806
lego_y-,0.8188727,0.9269922,-1.147892
lego_y-,0.8184747,0.9270571,-1.148161
lego_y-,0.8176697,0.9268575,-1.147831
lego_y-,0.8167765,0.9264149,-1.147701
lego_y-,0.815901,0.9259061,-1.147508
lego_y-,0.8151006,0.925142,-1.147999
lego_y-,0.8136328,0.9247357,-1.147605
lego_y-,0.8119887,0.9245358,-1.146962
lego_y-,0.8113973,0.9243809,-1.147614
lego_y-,0.8107457,0.9243622,-1.148274
lego_y-,0.8097042,0.9244363,-1.148253
lego_y-,0.8086004,0.9243479,-1.148115
lego_y-,0.8070789,0.9239358,-1.14769
lego_y-,0.8055872,0.9233956,-1.14717
lego_y-,0.8039269,0.9227821,-1.14646
lego_y-,0.8024376,0.9221237,-1.145824
lego_y-,0.8027968,0.92154,-1.148005
lego_y-,0.8012832,0.9211892,-1.147612
lego_y-,0.7995589,0.9206441,-1.146856
lego_y-,0.7974324,0.9190262,-1.146707
lego_y-,0.7959644,0.9170101,-1.146761
lego_y-,0.7949823,0.914515,-1.14714
lego_y-,0.7941259,0.9113128,-1.14767
lego_y-,0.7938079,0.9077545,-1.148879
lego_y-,0.7935014,0.9051566,-1.149829
lego_y-,0.793081,0.9026431,-1.150432
lego_y-,0.7923331,0.8996269,-1.150622
lego_y-,0.7926486,0.8971931,-1.152126
lego_y-,0.7928299,0.8954799,-1.153527
lego_y-,0.7925439,0.8943068,-1.154059
lego_y-,0.7919211,0.8930249,-1.154265
lego_y-,0.791495,0.891803,-1.15487
lego_y-,0.7907008,0.8910329,-1.154807
lego_y-,0.7894465,0.8900104,-1.154163
lego_y-,0.7892364,0.8891703,-1.154728
lego_y-,0.788588,0.8888748,-1.154391
lego_y-,0.7881698,0.8887645,-1.154297
lego_y-,0.7883176,0.8887089,-1.154799
lego_y-,0.7886677,0.88877,-1.155428
lego_y-,0.7889624,0.8889838,-1.155695
lego_y-,0.7892525,0.8892056,-1.155892
lego_y-,0.7897905,0.8894429,-1.15622
lego_y-,0.7901812,0.8895596,-1.156268
lego_y-,0.790507,0.8896546,-1.156259
lego_y-,0.7907622,0.8896759,-1.156214
lego_y-,0.7909966,0.8897345,-1.156111
lego_y-,0.7917501,0.8897633,-1.156713
lego_y-,0.792036,0.8899076,-1.156515
lego_y-,0.7923426,0.8901005,-1.15654
lego_y-,0.7925781,0.8903289,-1.156494
lego_y-,0.7928818,0.8905668,-1.15663
lego_y-,0.793667,0.8908466,-1.157557
lego_y-,0.7939309,0.8913628,-1.1577
lego_y-,0.7941521,0.8920476,-1.157826
lego_y-,0.7945556,0.8925883,-1.158181
lego_y-,0.7943776,0.8929768,-1.158022
lego_y-,0.794444,0.8935164,-1.158081
lego_y-,0.7947816,0.8939065,-1.158516
lego_y-,0.7951893,0.8943701,-1.159199
lego_y-,0.7953371,0.8948952,-1.159444
lego_y-,0.795418,0.8952891,-1.159646
lego_y-,0.7957723,0.8957352,-1.160351
lego_y-,0.7964378,0.8962587,-1.161408
lego_y-,0.7965742,0.8963295,-1.161698
lego_y-,0.7966142,0.8965077,-1.161601
lego_y-,0.7965041,0.8966734,-1.161533
lego_y-,0.7964646,0.8967892,-1.161589
lego_y-,0.7964805,0.8968675,-1.161741
lego_y-,0.796526,0.8970355,-1.161897
lego_y-,0.7965518,0.8973354,-1.162129
lego_y-,0.7963243,0.8975533,-1.161895
lego_y-,0.7961232,0.8978399,-1.161813
lego_y-,0.7960882,0.8981553,-1.161803
lego_y-,0.7960361,0.8984649,-1.161869
lego_y-,0.7960296,0.8986866,-1.161886
lego_y-,0.7961642,0.8988405,-1.162064
lego_y-,0.7963405,0.8988554,-1.162214
lego_y-,0.796836,0.8988459,-1.162667
lego_y-,0.7969036,0.8988401,-1.162583
lego_y-,0.7971012,0.8987321,-1.162585
lego_y-,0.797308,0.8987027,-1.162665
lego_y-,0.7976719,0.8986326,-1.162812
lego_y-,0.7977174,0.8985972,-1.162555
lego_y-,0.797736,0.8985528,-1.162197
lego_y-,0.7977849,0.898639,-1.161843
lego_y-,0.7975619,0.8986782,-1.161261
lego_y-,0.7972245,0.8988255,-1.160521
lego_y-,0.7968954,0.8990616,-1.159654
lego_y-,0.7965442,0.8992382,-1.158884
lego_y-,0.7961583,0.8993757,-1.158081
lego_y-,0.7956844,0.8994854,-1.157014
lego_y-,0.7949025,0.899759,-1.155273
lego_y-,0.7946035,0.8998274,-1.154434
lego_y-,0.7940243,0.8998497,-1.153171
lego_y-,0.7934712,0.8998799,-1.152009
