Scene,Start,End,Grasp
crackerbox_z-,1529318873255,1529318889134,1529318886711
foambrick_z-,1529318890008,1529318897934,1529318895310
scissors_x+,1529318898859,1529318908881,1529318906644
orange_x+,1529318909541,1529318914327,1529318912376
spoon_x-,1529318915141,1529318920974,1529318919443
mediumclamp_x+,1529318921593,1529318926215,1529318924297
gelatinbox_y+,1529318927299,1529318932786,1529318931154
lego_x+,1529318933954,1529318938652,1529318937084
mug_z-,1529318939407,1529318943895,1529318942269
crackerbox_x-,1529318944661,1529318948400,1529318946910
gelatinbox_x+,1529318949088,1529318953014,1529318951376
spoon_z-,1529318953647,1529318959282,1529318957696
largemarker_z+,1529318960034,1529318963801,1529318962589
hammer_y-,1529318964501,1529318969882,1529318968274
bleachcleanser_x+,1529318970433,1529318974841,1529318973034
lego_y+,1529318975633,1529318979469,1529318977978
spoon_y-,1529318980301,1529318986086,1529318984231
sponge_x-,1529318986593,1529318990937,1529318989592
orange_z-,1529318991490,1529318995269,1529318993991
foambrick_x+,1529318995794,1529318999600,1529318998072
mustardbottle_x+,1529319000328,1529319004377,1529319002554
hammer_x+,1529319005021,1529319008682,1529319007259
sponge_y+,1529319009542,1529319025298,1529319023180
mug_x+,1529319026503,1529319032781,1529319030342
lego_y-,1529319033464,1529319038577,1529319036631
gelatinbox_x-,1529319039077,1529319043217,1529319041686
mustardbottle_x-,1529319043822,1529319047859,1529319046433
crackerbox_y+,1529319048449,1529319052589,1529319050685
mediumclamp_z+,1529319053210,1529319057552,1529319056165
mediumclamp_y-,1529319058103,1529319065727,1529319063646
hammer_z+,1529319066464,1529319073764,1529319072434
orange_x-,1529319074384,1529319078603,1529319077114
foambrick_y-,1529319079545,1529319084443,1529319082633
largemarker_y+,1529319085050,1529319090311,1529319088568
banana_z-,1529319090891,1529319095056,1529319093271
orange_z+,1529319096050,1529319100818,1529319098944
crackerbox_y-,1529319101437,1529319106007,1529319104060
mustardbottle_z-,1529319106526,1529319113147,1529319111408
hammer_y+,1529319113665,1529319118961,1529319116766
scissors_z-,1529319119597,1529319125346,1529319123901
largemarker_x-,1529319126137,1529319129285,1529319128021
foambrick_x-,1529319129824,1529319133378,1529319132288
mug_z+,1529319133950,1529319138192,1529319136735
pottedmeatcan_z+,1529319138785,1529319144072,1529319142339
mug_y-,1529319144692,1529319150646,1529319147772
spoon_x+,1529319151266,1529319158019,1529319156113
sponge_y-,1529319158666,1529319170502,1529319169023
spoon_y+,1529319171142,1529319175924,1529319174106
foambrick_z+,1529319176557,1529319180547,1529319179247
scissors_y-,1529319181093,1529319187405,1529319185612
crackerbox_x+,1529319187799,1529319191645,1529319190395
pottedmeatcan_x-,1529319193012,1529319197115,1529319195838
mediumclamp_y+,1529319198054,1529319208661,1529319201877
largemaker_z-,1529319209879,1529319215333,1529319214167
largemaker_y-,1529319216026,1529319219408,1529319218304
bleachcleanser_z+,1529319219908,1529319223114,1529319222024
gelatinbox_z-,1529319223573,1529319226687,1529319225694
bleachcleanser_x-,1529319227401,1529319230782,1529319229549
mustardbottle_z+,1529319231551,1529319234967,1529319233757
pottedmeatcan_y-,1529319235841,1529319239767,1529319238360
mediumclamp_x-,1529319240387,1529319243836,1529319242717
mug_y+,1529319244531,1529319248608,1529319246931
sponge_z-,1529319249228,1529319258945,1529319257478
spoon_z+,1529319259924,1529319263971,1529319262774
lego_z+,1529319264602,1529319268132,1529319266892
lego_z-,1529319268775,1529319272343,1529319271267
scissors_x-,1529319273055,1529319277092,1529319275678
lego_x-,1529319277695,1529319281009,1529319279798
pottedmeatcan_z-,1529319281603,1529319285341,1529319284160
sponge_z+,1529319285908,1529319291783,1529319290399
hammer_z-,1529319292401,1529319295809,1529319294826
bleachcleanser_y+,1529319296415,1529319299677,1529319298335
mustardbottle_y+,1529319300403,1529319303276,1529319302069
banana_y-,1529319303974,1529319307983,1529319306747
banana_x-,1529319308430,1529319311315,1529319310332
gelatinbox_z+,1529319311935,1529319314623,1529319313679
scissors_z+,1529319315163,1529319317892,1529319316945
mug_x-,1529319318547,1529319321625,1529319320612
hammer_x-,1529319322242,1529319325182,1529319323999
sponge_x+,1529319325710,1529319329958,1529319328651
gelatinbox_y-,1529319330469,1529319334316,1529319333199
bleachcleanser_z-,1529319334922,1529319337876,1529319336945
mustardbottle_y-,1529319338416,1529319341597,1529319340440
orange_y+,1529319342083,1529319345197,1529319343987
scissors_y+,1529319345762,1529319350079,1529319348200
largemarker_x+,1529319350734,1529319354077,1529319352838
banana_y+,1529319354736,1529319358347,1529319356587
bleachcleanser_y-,1529319358990,1529319362410,1529319361161
pottedmeatcan_x+,1529319363084,1529319366438,1529319365187
mediumclamp_z-,1529319367070,1529319370838,1529319369706
foambrick_y+,1529319371418,1529319374749,1529319373187
banana_z+,1529319375445,1529319378168,1529319376961
orange_y-,1529319378803,1529319381970,1529319380848
pottedmeatcan_y+,1529319382444,1529319385677,1529319384454
crackerbox_z+,1529319386443,1529319389650,1529319388375
banana_x+,1529319390365,1529319393491,1529319392086
