Scene,Start,End,Grasp
mustardbottle_z+,1529062182594,1529062189639,1529062187229
spoon_y+,1529062190554,1529062198160,1529062195458
sponge_z-,1529062199152,1529062205532,1529062204109
mug_z-,1529062206246,1529062214631,1529062212255
spoon_z-,1529062215286,1529062222231,1529062220414
foambrick_y+,1529062222767,1529062229093,1529062226993
lego_x-,1529062229859,1529062235134,1529062233648
crackerbox_y-,1529062235701,1529062242188,1529062240202
orange_y-,1529062242781,1529062248043,1529062246004
mug_x-,1529062248595,1529062253161,1529062251856
hammer_x+,1529062253766,1529062259027,1529062257070
sponge_x+,1529062259595,1529062263644,1529062262141
mustardbottle_x-,1529062264101,1529062267646,1529062266324
banana_x-,1529062268127,1529062272668,1529062271485
bleachcleanser_z-,1529062273141,1529062278281,1529062277004
pottedmeatcan_x+,1529062278875,1529062283549,1529062282193
hammer_x-,1529062284075,1529062288055,1529062286806
foambrick_z+,1529062288595,1529062292548,1529062291393
mustardbottle_z-,1529062293115,1529062297056,1529062295806
mug_x+,1529062297584,1529062302763,1529062301446
gelatinbox_x+,1529062303569,1529062307257,1529062305899
crackerbox_z-,1529062307941,1529062312763,1529062311325
hammer_z-,1529062313435,1529062318084,1529062316739
pottedmeatcan_y-,1529062318676,1529062323803,1529062322048
mediumclamp_x-,1529062324370,1529062328990,1529062327743
bleachcleanser_y-,1529062329491,1529062335047,1529062333538
lego_x+,1529062335583,1529062338962,1529062337740
gelatinbox_z-,1529062339569,1529062342977,1529062341887
pottedmeatcan_x-,1529062343543,1529062347296,1529062346196
foambrick_x+,1529062347770,1529062351447,1529062350073
foambrick_x-,1529062352063,1529062355671,1529062354461
largemaker_y-,1529062356226,1529062360683,1529062359100
gelatinbox_x-,1529062361105,1529062364724,1529062363621
orange_y+,1529062365385,1529062369124,1529062367716
largemarker_x-,1529062369732,1529062373435,1529062372274
mustardbottle_y-,1529062374049,1529062378204,1529062376661
bleachcleanser_x+,1529062378743,1529062383351,1529062381621
lego_y-,1529062383984,1529062388523,1529062386848
mediumclamp_y-,1529062389051,1529062393687,1529062391795
bleachcleanser_x-,1529062394157,1529062398500,1529062397196
gelatinbox_y+,1529062399130,1529062402595,1529062401263
pottedmeatcan_z+,1529062403305,1529062407725,1529062406515
largemarker_x+,1529062408373,1529062412847,1529062411597
lego_z-,1529062413397,1529062417351,1529062416236
pottedmeatcan_y+,1529062418026,1529062422073,1529062420381
banana_y-,1529062422732,1529062427899,1529062426382
hammer_y-,1529062428388,1529062433250,1529062431329
orange_z-,1529062433719,1529062437512,1529062436542
mustardbottle_y+,1529062438146,1529062442967,1529062441199
scissors_y-,1529062443586,1529062452194,1529062449544
largemarker_z+,1529062453024,1529062457206,1529062456144
pottedmeatcan_z-,1529062457836,1529062461232,1529062459997
lego_z+,1529062461799,1529062465180,1529062464128
sponge_x-,1529062465878,1529062469540,1529062468480
banana_z-,1529062470146,1529062474073,1529062472742
orange_x-,1529062474760,1529062478835,1529062477556
foambrick_z-,1529062479347,1529062483500,1529062482248
scissors_z+,1529062484012,1529062489489,1529062488050
spoon_x+,1529062490187,1529062494446,1529062493144
spoon_x-,1529062495054,1529062498635,1529062497385
gelatinbox_y-,1529062499120,1529062503595,1529062502236
bleachcleanser_y+,1529062504107,1529062507342,1529062505745
scissors_z-,1529062508079,1529062511996,1529062510931
orange_x+,1529062512694,1529062515874,1529062514585
mustardbottle_x+,1529062516349,1529062519476,1529062518093
mediumclamp_y+,1529062520029,1529062523860,1529062522359
banana_z+,1529062524603,1529062528433,1529062526958
crackerbox_y+,1529062529053,1529062533277,1529062531521
foambrick_y-,1529062533865,1529062545903,1529062543523
mediumclamp_z+,1529062546775,1529062550608,1529062549412
crackerbox_z+,1529062551376,1529062555114,1529062553745
sponge_y+,1529062555859,1529062561116,1529062559304
bleachcleanser_z+,1529062561949,1529062565703,1529062564091
hammer_y+,1529062566295,1529062570478,1529062568691
mediumclamp_x+,1529062571176,1529062574869,1529062573335
mug_y-,1529062575509,1529062579059,1529062577459
scissors_x+,1529062579816,1529062584343,1529062582860
gelatinbox_z+,1529062585016,1529062587943,1529062586944
banana_y+,1529062588615,1529062591704,1529062590480
hammer_z+,1529062592470,1529062596182,1529062595059
crackerbox_x-,1529062596848,1529062600196,1529062598959
mug_y+,1529062600861,1529062606093,1529062604067
largemaker_z-,1529062606820,1529062610876,1529062609735
scissors_x-,1529062611523,1529062614998,1529062613667
sponge_y-,1529062615605,1529062619668,1529062618080
mediumclamp_z-,1529062620243,1529062623929,1529062622880
mug_z+,1529062624591,1529062627718,1529062626532
largemarker_y+,1529062628324,1529062632184,1529062630854
spoon_z+,1529062632911,1529062635916,1529062634841
crackerbox_x+,1529062636642,1529062639876,1529062638720
scissors_y+,1529062640537,1529062644970,1529062643187
lego_y+,1529062645604,1529062649210,1529062647603
spoon_y-,1529062649937,1529062655132,1529062653361
orange_z+,1529062655685,1529062659331,1529062658147
banana_x+,1529062659991,1529062663719,1529062662546
sponge_z+,1529062664407,1529062667411,1529062666561
