Scene,Start,End,Grasp
scissors_y+,1529320841385,1529320849499,1529320847092
orange_y+,1529320850225,1529320855167,1529320852727
gelatinbox_y+,1529320856040,1529320860101,1529320858490
largemarker_z+,1529320860974,1529320864981,1529320863612
pottedmeatcan_z-,1529320865625,1529320869688,1529320868385
bleachcleanser_y+,1529320870514,1529320874447,1529320872584
lego_y-,1529320875268,1529320882393,1529320880341
mustardbottle_z-,1529320883028,1529320887833,1529320886439
banana_x+,1529320888493,1529320892750,1529320891139
pottedmeatcan_y-,1529320893529,1529320898569,1529320896893
sponge_x+,1529320899227,1529320903702,1529320902175
lego_x+,1529320904374,1529320909723,1529320907971
orange_z-,1529320910468,1529320915008,1529320913679
bleachcleanser_x+,1529320915728,1529320919141,1529320917505
mediumclamp_z-,1529320919741,1529320925555,1529320924107
bleachcleanser_y-,1529320926227,1529320931124,1529320929328
orange_x-,1529320931695,1529320935436,1529320933971
mediumclamp_z+,1529320936001,1529320940157,1529320938758
pottedmeatcan_x+,1529320940777,1529320944663,1529320942941
mug_x-,1529320945442,1529320951181,1529320949385
crackerbox_z-,1529320951802,1529320955938,1529320954586
hammer_z+,1529320956575,1529320960301,1529320958959
hammer_x+,1529320961001,1529320964384,1529320963053
crackerbox_x+,1529320965056,1529320969636,1529320968066
largemarker_x+,1529320970390,1529320974170,1529320972681
banana_y+,1529320974789,1529320978902,1529320977212
spoon_z-,1529320979776,1529320984339,1529320983106
sponge_y+,1529320984917,1529320989493,1529320987576
mug_z+,1529320990096,1529320994412,1529320992882
foambrick_x+,1529320995377,1529320998837,1529320997428
orange_x+,1529320999391,1529321002383,1529321001107
mug_y+,1529321002991,1529321006556,1529321005143
pottedmeatcan_y+,1529321007230,1529321010903,1529321009054
banana_z+,1529321011545,1529321015304,1529321013800
sponge_x-,1529321015859,1529321019454,1529321018216
hammer_y+,1529321020044,1529321023651,1529321022227
foambrick_x-,1529321024404,1529321027639,1529321026560
bleachcleanser_z-,1529321028243,1529321032493,1529321030843
hammer_x-,1529321032978,1529321036410,1529321034868
hammer_z-,1529321036945,1529321040426,1529321039084
pottedmeatcan_x-,1529321040964,1529321044478,1529321042942
bleachcleanser_z+,1529321045146,1529321049224,1529321047776
hammer_y-,1529321049831,1529321054426,1529321052615
largemaker_y-,1529321054945,1529321061228,1529321059470
foambrick_y-,1529321061751,1529321066959,1529321065310
gelatinbox_y-,1529321067432,1529321072015,1529321070457
sponge_z+,1529321072546,1529321076065,1529321074658
gelatinbox_z-,1529321076533,1529321080910,1529321079443
lego_z-,1529321081458,1529321085530,1529321084284
scissors_z+,1529321086113,1529321089586,1529321088164
mediumclamp_x+,1529321090320,1529321094360,1529321092777
pottedmeatcan_z+,1529321094860,1529321098666,1529321097058
scissors_y-,1529321099299,1529321105706,1529321104046
mustardbottle_z+,1529321106260,1529321110625,1529321109309
mustardbottle_y-,1529321111166,1529321121999,1529321120285
largemaker_z-,1529321122547,1529321127015,1529321125629
gelatinbox_z+,1529321127593,1529321132200,1529321130763
spoon_y+,1529321132753,1529321137176,1529321135132
mediumclamp_y-,1529321137860,1529321145201,1529321143533
sponge_y-,1529321145735,1529321151041,1529321149444
mug_y-,1529321151488,1529321155295,1529321153607
lego_z+,1529321156007,1529321159976,1529321158433
crackerbox_y-,1529321160688,1529321165402,1529321163867
largemarker_y+,1529321166008,1529321169787,1529321168178
mediumclamp_y+,1529321170394,1529321174308,1529321172714
foambrick_z+,1529321174888,1529321179308,1529321177931
spoon_x-,1529321179903,1529321185870,1529321184258
mug_z-,1529321186514,1529321190296,1529321188902
mediumclamp_x-,1529321190889,1529321194934,1529321193560
scissors_x-,1529321195488,1529321199963,1529321198299
sponge_z-,1529321200551,1529321205282,1529321204009
banana_z-,1529321205861,1529321209732,1529321208546
banana_x-,1529321210335,1529321214176,1529321212751
scissors_x+,1529321214735,1529321218870,1529321217247
lego_y+,1529321219336,1529321223229,1529321221513
foambrick_y+,1529321223875,1529321228176,1529321226301
mustardbottle_x-,1529321228676,1529321233430,1529321231901
gelatinbox_x+,1529321233890,1529321237349,1529321235794
orange_y-,1529321238009,1529321242244,1529321240846
spoon_x+,1529321242798,1529321246545,1529321245146
mustardbottle_x+,1529321247249,1529321250533,1529321249182
orange_z+,1529321251063,1529321255205,1529321253608
gelatinbox_x-,1529321255984,1529321260017,1529321258588
spoon_z+,1529321260609,1529321265791,1529321264348
banana_y-,1529321266383,1529321271071,1529321269536
largemarker_x-,1529321271537,1529321275269,1529321273901
mustardbottle_y+,1529321275752,1529321279283,1529321277632
crackerbox_x-,1529321279970,1529321283632,1529321282236
foambrick_z-,1529321284184,1529321288070,1529321286951
bleachcleanser_x-,1529321288717,1529321293589,1529321291948
lego_x-,1529321294091,1529321298245,1529321296876
mug_x+,1529321298826,1529321303136,1529321301621
scissors_z-,1529321303704,1529321308334,1529321306914
crackerbox_y+,1529321309079,1529321313298,1529321311808
spoon_y-,1529321314157,1529321319098,1529321317503
crackerbox_z+,1529321319612,1529321323151,1529321321715
