Scene,Start,End,Grasp
banana_x-,1529413457811,1529413480916,1529413479175
largemarker_z+,1529413481803,1529413497170,1529413495667
pottedmeatcan_x-,1529413498191,1529413504571,1529413502574
mediumclamp_y-,1529413505734,1529413511996,1529413510239
largemarker_y+,1529413512737,1529413518570,1529413516892
lego_z-,1529413519631,1529413523715,1529413522346
orange_x-,1529413524365,1529413528131,1529413526919
mustardbottle_y-,1529413528751,1529413533651,1529413532094
spoon_x-,1529413534258,1529413538199,1529413537029
mediumclamp_z+,1529413538792,1529413542927,1529413541787
banana_y-,1529413543506,1529413547837,1529413546187
spoon_z-,1529413548551,1529413553358,1529413552136
mustardbottle_z-,1529413554099,1529413558329,1529413556682
mug_y-,1529413559152,1529413563717,1529413562095
bleachcleanser_z+,1529413564500,1529413568893,1529413567548
gelatinbox_z-,1529413569860,1529413575092,1529413573843
sponge_x+,1529413575727,1529413589199,1529413587669
bleachcleanser_y-,1529413589900,1529413595134,1529413593189
largemarker_x-,1529413596033,1529413605364,1529413604150
spoon_y-,1529413606147,1529413611641,1529413609856
bleachcleanser_y+,1529413612274,1529413616802,1529413615365
scissors_x-,1529413617500,1529413622240,1529413621043
gelatinbox_y-,1529413622926,1529413628066,1529413626455
mug_x+,1529413628780,1529413632842,1529413631377
banana_z+,1529413633487,1529413637119,1529413636003
orange_x+,1529413638021,1529413641853,1529413640616
mediumclamp_z-,1529413642580,1529413646468,1529413645403
gelatinbox_y+,1529413647141,1529413651120,1529413649549
mustardbottle_z+,1529413651836,1529413655694,1529413654521
hammer_z-,1529413656436,1529413660228,1529413659122
sponge_x-,1529413660848,1529413666614,1529413665003
orange_y+,1529413667434,1529413671948,1529413670457
bleachcleanser_z-,1529413672622,1529413677118,1529413675816
orange_y-,1529413677821,1529413681511,1529413680098
crackerbox_y-,1529413682061,1529413687081,1529413685734
mug_z+,1529413687769,1529413691762,1529413690534
bleachcleanser_x-,1529413692537,1529413697442,1529413696333
foambrick_z+,1529413698136,1529413708895,1529413706688
crackerbox_y+,1529413709969,1529413715217,1529413713520
pottedmeatcan_z+,1529413716221,1529413720163,1529413718965
gelatinbox_x+,1529413721036,1529413724295,1529413723007
scissors_y+,1529413725036,1529413729417,1529413727922
largemaker_z-,1529413730156,1529413734430,1529413733408
mug_x-,1529413735023,1529413738764,1529413737537
scissors_y-,1529413739436,1529413744269,1529413742605
spoon_y+,1529413744927,1529413750337,1529413748951
hammer_x+,1529413750925,1529413755217,1529413753860
pottedmeatcan_y-,1529413756023,1529413761176,1529413759738
lego_y-,1529413761824,1529413766697,1529413764994
mustardbottle_x-,1529413767277,1529413771535,1529413770459
sponge_z+,1529413772252,1529413776617,1529413775245
scissors_z-,1529413777264,1529413782351,1529413781020
hammer_x-,1529413782970,1529413787136,1529413786021
mustardbottle_y+,1529413787727,1529413792498,1529413791138
sponge_z-,1529413793344,1529413797964,1529413796727
spoon_z+,1529413798729,1529413805446,1529413804155
mug_z-,1529413806398,1529413810497,1529413809512
banana_x+,1529413811237,1529413814923,1529413813593
scissors_z+,1529413815799,1529413820217,1529413818942
sponge_y-,1529413821198,1529413830152,1529413828394
foambrick_y+,1529413830945,1529413835204,1529413833608
gelatinbox_x-,1529413836052,1529413841860,1529413840635
pottedmeatcan_y+,1529413842558,1529413846352,1529413844649
hammer_y-,1529413847186,1529413852952,1529413851275
pottedmeatcan_x+,1529413853525,1529413857336,1529413856138
banana_y+,1529413857932,1529413862100,1529413860382
bleachcleanser_x+,1529413862732,1529413866592,1529413865355
orange_z-,1529413867339,1529413870966,1529413870009
pottedmeatcan_z-,1529413871612,1529413875247,1529413874143
crackerbox_x+,1529413875915,1529413879820,1529413878408
mediumclamp_x-,1529413880559,1529413884522,1529413883537
mediumclamp_x+,1529413885467,1529413890154,1529413888809
foambrick_x+,1529413890879,1529413894259,1529413893065
crackerbox_z-,1529413895187,1529413901328,1529413899798
spoon_x+,1529413901947,1529413906109,1529413904824
sponge_y+,1529413906853,1529413913006,1529413911143
orange_z+,1529413913727,1529413917246,1529413915837
crackerbox_x-,1529413918028,1529413930968,1529413929369
scissors_x+,1529413931729,1529413937501,1529413935988
lego_z+,1529413938255,1529413942925,1529413941525
lego_x+,1529413943734,1529413947274,1529413945970
foambrick_z-,1529413947929,1529413952848,1529413951586
foambrick_y-,1529413953456,1529413957582,1529413955945
hammer_y+,1529413958228,1529413962447,1529413960480
lego_x-,1529413963117,1529413966648,1529413965651
mediumclamp_y+,1529413967268,1529413971236,1529413969641
foambrick_x-,1529413972082,1529413978594,1529413977465
largemaker_y-,1529413979388,1529413983527,1529413982238
mustardbottle_x+,1529413984175,1529413988142,1529413986731
crackerbox_z+,1529413988869,1529413994795,1529413993638
mug_y+,1529413995731,1529414000036,1529413998438
lego_y+,1529414000884,1529414004903,1529414003228
hammer_z+,1529414005562,1529414008850,1529414007694
largemarker_x+,1529414009531,1529414013125,1529414011960
gelatinbox_z+,1529414013776,1529414016863,1529414015740
banana_z-,1529414017517,1529414021526,1529414020280
