Scene,Start,End,Grasp
lego_y-,1529665878807,1529665894773,1529665891765
scissors_z+,1529665895443,1529665901159,1529665899179
largemarker_z+,1529665901840,1529665908174,1529665906150
mug_x+,1529665909219,1529665913572,1529665911868
crackerbox_z-,1529665914287,1529665919054,1529665917218
sponge_x-,1529665919553,1529665923414,1529665921671
pottedmeatcan_y-,1529665924059,1529665929059,1529665926616
orange_y-,1529665929688,1529665934546,1529665932336
sponge_z-,1529665935101,1529665940035,1529665938482
banana_x-,1529665940634,1529665945414,1529665943738
bleachcleanser_y-,1529665945981,1529665950907,1529665948793
lego_x+,1529665951408,1529665955616,1529665954006
pottedmeatcan_z+,1529665956155,1529665960228,1529665958406
crackerbox_z+,1529665960860,1529665965228,1529665963654
mug_y-,1529665965809,1529665970003,1529665968085
lego_z+,1529665970607,1529665974416,1529665972871
mediumclamp_z-,1529665975055,1529665979082,1529665977724
gelatinbox_y+,1529665979642,1529665983631,1529665981699
pottedmeatcan_x+,1529665984114,1529665988148,1529665986325
mug_z+,1529665988767,1529665993708,1529665992179
spoon_y-,1529665995342,1529666003925,1529666001818
largemarker_y+,1529666004436,1529666011251,1529666006900
foambrick_y-,1529666013128,1529666018615,1529666016684
hammer_x+,1529666019342,1529666023312,1529666021634
sponge_y-,1529666023915,1529666029219,1529666027127
gelatinbox_z+,1529666029783,1529666034096,1529666032606
pottedmeatcan_y+,1529666034598,1529666039190,1529666037234
hammer_z+,1529666039756,1529666044298,1529666042656
banana_y-,1529666045010,1529666050484,1529666048457
largemaker_y-,1529666051023,1529666056670,1529666054766
foambrick_x-,1529666057257,1529666061110,1529666059927
bleachcleanser_x+,1529666061656,1529666065124,1529666063766
mug_z-,1529666065656,1529666069792,1529666068499
gelatinbox_x+,1529666070344,1529666073979,1529666072609
lego_z-,1529666074505,1529666078221,1529666076844
mustardbottle_x-,1529666078797,1529666082738,1529666081356
hammer_z-,1529666083257,1529666087764,1529666086328
crackerbox_y+,1529666088238,1529666092924,1529666090941
pottedmeatcan_x-,1529666093490,1529666097566,1529666096329
gelatinbox_z-,1529666098104,1529666101992,1529666100794
mediumclamp_z+,1529666102557,1529666106231,1529666104660
mediumclamp_y-,1529666106846,1529666112671,1529666110942
bleachcleanser_z+,1529666113104,1529666117219,1529666115823
sponge_x+,1529666117746,1529666122301,1529666120860
scissors_x+,1529666122846,1529666126809,1529666125272
foambrick_y+,1529666127358,1529666131702,1529666129768
mug_x-,1529666132258,1529666136868,1529666135449
banana_z+,1529666137460,1529666141913,1529666140584
banana_x+,1529666142545,1529666147233,1529666145796
scissors_y+,1529666147573,1529666151766,1529666150024
crackerbox_y-,1529666152279,1529666157339,1529666155769
hammer_x-,1529666157879,1529666162035,1529666160702
mediumclamp_y+,1529666162660,1529666166420,1529666164812
spoon_x-,1529666166945,1529666172006,1529666170598
sponge_y+,1529666172560,1529666176943,1529666175236
hammer_y+,1529666177748,1529666182369,1529666180158
banana_z-,1529666183401,1529666187457,1529666186237
orange_x+,1529666188026,1529666191942,1529666190622
orange_z+,1529666192473,1529666196222,1529666194970
orange_x-,1529666196846,1529666200315,1529666199198
bleachcleanser_x-,1529666200826,1529666204913,1529666203731
mustardbottle_y-,1529666205587,1529666210209,1529666208425
foambrick_x+,1529666210786,1529666214113,1529666212825
spoon_y+,1529666214721,1529666219407,1529666217461
lego_x-,1529666220062,1529666224856,1529666223599
mustardbottle_y+,1529666225508,1529666229470,1529666227772
mug_y+,1529666229933,1529666233994,1529666232359
foambrick_z-,1529666234863,1529666239408,1529666237946
bleachcleanser_y+,1529666240050,1529666244025,1529666242558
crackerbox_x+,1529666244561,1529666248502,1529666247294
mediumclamp_x+,1529666249074,1529666253857,1529666252674
spoon_z+,1529666254468,1529666257884,1529666256600
largemarker_x+,1529666258550,1529666262115,1529666260848
orange_z-,1529666262721,1529666267517,1529666266292
scissors_z-,1529666268123,1529666272971,1529666271707
bleachcleanser_z-,1529666273482,1529666277370,1529666276080
largemarker_x-,1529666277896,1529666281845,1529666280760
scissors_x-,1529666282363,1529666286382,1529666285160
orange_y+,1529666286882,1529666290157,1529666288861
spoon_x+,1529666290989,1529666294928,1529666293661
spoon_z-,1529666295463,1529666299046,1529666298025
banana_y+,1529666299617,1529666303410,1529666301879
foambrick_z+,1529666304096,1529666307457,1529666306319
mediumclamp_x-,1529666308030,1529666311383,1529666310359
gelatinbox_y-,1529666312003,1529666316036,1529666314706
pottedmeatcan_z-,1529666316630,1529666320616,1529666319600
mustardbottle_z+,1529666321189,1529666325395,1529666324013
mustardbottle_x+,1529666326030,1529666329635,1529666328534
crackerbox_x-,1529666330270,1529666333357,1529666332172
sponge_z+,1529666333950,1529666337411,1529666336133
largemaker_z-,1529666338003,1529666341304,1529666340189
hammer_y-,1529666341851,1529666346089,1529666344627
mustardbottle_z-,1529666346631,1529666350118,1529666348867
scissors_y-,1529666350750,1529666356117,1529666354319
gelatinbox_x-,1529666356723,1529666360045,1529666359028
lego_y+,1529666360590,1529666364033,1529666362615
