Scene,Start,End,Grasp
sponge_y-,1529333805807,1529333839841,1529333826635
foambrick_x+,1529333841036,1529333876963,1529333874260
banana_x+,1529333877896,1529333888536,1529333885861
orange_z+,1529333889168,1529333904846,1529333902325
banana_z+,1529333905609,1529333916740,1529333914501
crackerbox_y-,1529333917357,1529333929106,1529333926154
mediumclamp_y+,1529333929759,1529333944566,1529333941608
mug_z-,1529333945170,1529333954366,1529333952155
pottedmeatcan_x+,1529333954997,1529333963764,1529333961608
mug_z+,1529333964465,1529333972151,1529333970342
spoon_y-,1529333972877,1529333989073,1529333986452
gelatinbox_y-,1529333989985,1529333998108,1529333995156
pottedmeatcan_y+,1529333999039,1529334006595,1529334004211
banana_z-,1529334007585,1529334013927,1529334012409
sponge_z+,1529334014639,1529334028860,1529334027079
spoon_z+,1529334029515,1529334035462,1529334034038
crackerbox_z+,1529334037425,1529334047875,1529334046370
bleachcleanser_y+,1529334048574,1529334054490,1529334052638
mug_x+,1529334055172,1529334061941,1529334060105
bleachcleanser_z-,1529334062930,1529334068834,1529334067529
mug_y-,1529334069514,1529334076396,1529334073651
gelatinbox_x-,1529334077027,1529334086726,1529334085344
mustardbottle_y+,1529334087517,1529334092968,1529334090838
largemaker_y-,1529334093841,1529334100712,1529334098557
banana_x-,1529334101361,1529334107395,1529334105611
largemarker_x-,1529334107988,1529334116497,1529334114639
spoon_x-,1529334117135,1529334124663,1529334122786
mediumclamp_z-,1529334125329,1529334132143,1529334130665
lego_y-,1529334132882,1529334139583,1529334137599
largemaker_z-,1529334140332,1529334146183,1529334144892
mustardbottle_x-,1529334146989,1529334152314,1529334150882
bleachcleanser_x-,1529334153042,1529334158678,1529334157375
scissors_z+,1529334159283,1529334165877,1529334164518
mediumclamp_x+,1529334166516,1529334171663,1529334170255
sponge_x+,1529334172416,1529334177311,1529334175830
gelatinbox_z+,1529334178949,1529334183622,1529334182513
mediumclamp_z+,1529334184470,1529334189076,1529334187727
scissors_z-,1529334189883,1529334195583,1529334193984
scissors_x-,1529334196718,1529334200799,1529334199375
foambrick_x-,1529334201563,1529334206757,1529334205282
largemarker_z+,1529334207364,1529334213464,1529334211988
scissors_y-,1529334214096,1529334220330,1529334218546
largemarker_x+,1529334221217,1529334225664,1529334224294
scissors_x+,1529334226365,1529334231237,1529334229870
bleachcleanser_y-,1529334232057,1529334236465,1529334234883
orange_x-,1529334237119,1529334241463,1529334240131
mustardbottle_z-,1529334242086,1529334246851,1529334245626
hammer_x-,1529334247445,1529334251490,1529334250268
mediumclamp_y-,1529334252119,1529334258344,1529334256341
pottedmeatcan_z+,1529334258938,1529334264411,1529334262616
spoon_y+,1529334265059,1529334270559,1529334268281
mug_x-,1529334271322,1529334279093,1529334277376
bleachcleanser_z+,1529334279752,1529334284438,1529334282962
crackerbox_y+,1529334285232,1529334290799,1529334288929
hammer_x+,1529334291566,1529334296343,1529334294816
lego_z+,1529334296920,1529334300972,1529334299630
orange_z-,1529334301607,1529334306226,1529334304929
gelatinbox_y+,1529334306899,1529334312929,1529334311149
foambrick_z-,1529334313739,1529334317915,1529334316629
lego_y+,1529334318726,1529334323866,1529334322189
pottedmeatcan_z-,1529334324820,1529334330266,1529334328869
mustardbottle_y-,1529334330955,1529334335742,1529334333830
scissors_y+,1529334336353,1529334341840,1529334340058
spoon_x+,1529334342534,1529334347027,1529334345318
bleachcleanser_x+,1529334347688,1529334351600,1529334350131
foambrick_y+,1529334352522,1529334356282,1529334354429
orange_y-,1529334356995,1529334362760,1529334361097
hammer_z+,1529334363367,1529334366748,1529334365485
crackerbox_x-,1529334367323,1529334372110,1529334370617
gelatinbox_z-,1529334372822,1529334376628,1529334375486
banana_y+,1529334377235,1529334381001,1529334379472
hammer_y-,1529334381687,1529334386242,1529334384764
banana_y-,1529334386723,1529334391067,1529334389319
foambrick_y-,1529334391488,1529334395931,1529334394296
lego_x-,1529334396422,1529334400589,1529334399230
sponge_y+,1529334401182,1529334407215,1529334405275
crackerbox_x+,1529334407937,1529334412349,1529334410937
pottedmeatcan_y-,1529334413022,1529334417402,1529334415751
mediumclamp_x-,1529334417982,1529334421656,1529334420311
orange_y+,1529334422340,1529334426163,1529334424593
largemarker_y+,1529334426876,1529334431256,1529334429591
hammer_z-,1529334431875,1529334435815,1529334434711
sponge_z-,1529334436409,1529334439468,1529334438301
pottedmeatcan_x-,1529334440342,1529334447164,1529334446060
sponge_x-,1529334447725,1529334451004,1529334449725
mustardbottle_x+,1529334451597,1529334455321,1529334453951
mustardbottle_z+,1529334455943,1529334459082,1529334457778
gelatinbox_x+,1529334459738,1529334463349,1529334462219
orange_x+,1529334463878,1529334467097,1529334465806
mug_y+,1529334467725,1529334471670,1529334469821
foambrick_z+,1529334472344,1529334476470,1529334475048
lego_z-,1529334477090,1529334480350,1529334479366
hammer_y+,1529334480904,1529334484871,1529334483006
spoon_z-,1529334485584,1529334489086,1529334487807
crackerbox_z-,1529334489772,1529334494017,1529334493007
lego_x+,1529334494637,1529334498465,1529334497008
