Scene,Camera X,Camera Y,Camera Z
scissors_z-,0.628227,1.277636,-0.9750084
scissors_z-,0.6281447,1.27776,-0.9748774
scissors_z-,0.6201982,1.277758,-0.9770423
scissors_z-,0.6179214,1.277413,-0.9787564
scissors_z-,0.6174729,1.277148,-0.9791649
scissors_z-,0.6170899,1.276936,-0.9793892
scissors_z-,0.6167684,1.276639,-0.9795955
scissors_z-,0.6165127,1.276412,-0.9797435
scissors_z-,0.6162623,1.276105,-0.9799804
scissors_z-,0.6163,1.27607,-0.9799489
scissors_z-,0.616312,1.275842,-0.9800922
scissors_z-,0.6163763,1.275806,-0.9801626
scissors_z-,0.6163977,1.275799,-0.9802475
scissors_z-,0.6163871,1.275726,-0.9800513
scissors_z-,0.6164767,1.275689,-0.9800165
scissors_z-,0.6167054,1.275546,-0.9799917
scissors_z-,0.6168639,1.275433,-0.9800476
scissors_z-,0.6170018,1.275406,-0.980039
scissors_z-,0.6172569,1.275361,-0.9800797
scissors_z-,0.6174886,1.275273,-0.9800471
scissors_z-,0.6177535,1.275132,-0.9800329
scissors_z-,0.6179667,1.275161,-0.9799874
scissors_z-,0.6185045,1.274952,-0.9798988
scissors_z-,0.618691,1.274958,-0.979921
scissors_z-,0.6191461,1.274847,-0.9797356
scissors_z-,0.6198311,1.274624,-0.9796122
scissors_z-,0.6201049,1.274637,-0.9795613
scissors_z-,0.6203377,1.274511,-0.9793427
scissors_z-,0.620626,1.27446,-0.9791597
scissors_z-,0.6210209,1.274501,-0.9792636
scissors_z-,0.6211492,1.274321,-0.9790961
scissors_z-,0.6217676,1.274125,-0.9789287
scissors_z-,0.621949,1.274101,-0.9788134
scissors_z-,0.6224637,1.274001,-0.978681
scissors_z-,0.6227764,1.273975,-0.9785764
scissors_z-,0.6227905,1.273948,-0.9784317
scissors_z-,0.6233968,1.273965,-0.9781671
scissors_z-,0.6236398,1.273939,-0.97814
scissors_z-,0.6241264,1.274026,-0.978088
scissors_z-,0.6242678,1.27401,-0.9779473
scissors_z-,0.624407,1.274044,-0.9777035
scissors_z-,0.6245891,1.274077,-0.9776465
scissors_z-,0.624713,1.274177,-0.9775723
scissors_z-,0.6248732,1.274137,-0.9774301
scissors_z-,0.6250142,1.27404,-0.9773769
scissors_z-,0.6251654,1.274025,-0.9772978
scissors_z-,0.6252785,1.274069,-0.9774122
scissors_z-,0.6254776,1.274073,-0.9771586
scissors_z-,0.6255218,1.274098,-0.977017
scissors_z-,0.6255162,1.274007,-0.976872
scissors_z-,0.6255897,1.274043,-0.976792
scissors_z-,0.6255639,1.274017,-0.9766421
scissors_z-,0.6256129,1.274009,-0.9764766
scissors_z-,0.6256112,1.273986,-0.9763284
scissors_z-,0.6256583,1.274039,-0.9762236
scissors_z-,0.6256382,1.274169,-0.9761773
scissors_z-,0.6255907,1.274199,-0.9759898
scissors_z-,0.6255648,1.27422,-0.976015
scissors_z-,0.6255516,1.274213,-0.97591
scissors_z-,0.6254893,1.274311,-0.9758685
scissors_z-,0.6253682,1.27428,-0.9756091
scissors_z-,0.6254447,1.27427,-0.975585
scissors_z-,0.625371,1.274346,-0.9756071
scissors_z-,0.6253998,1.274284,-0.9754627
scissors_z-,0.6254138,1.274354,-0.9753302
scissors_z-,0.6254155,1.274252,-0.9752047
scissors_z-,0.6254637,1.274243,-0.9749012
scissors_z-,0.6255003,1.27416,-0.9748631
scissors_z-,0.6255493,1.274116,-0.9744674
scissors_z-,0.6256487,1.274062,-0.9743129
scissors_z-,0.6256921,1.273995,-0.9739482
scissors_z-,0.6261868,1.273697,-0.9732758
scissors_z-,0.6265274,1.273566,-0.9726346
scissors_z-,0.6267841,1.27343,-0.9721402
scissors_z-,0.6270983,1.273315,-0.9716195
scissors_z-,0.6274548,1.27314,-0.9711886
scissors_z-,0.6277704,1.272925,-0.9703568
scissors_z-,0.6284788,1.272238,-0.9695379
scissors_z-,0.6288889,1.271861,-0.9690852
scissors_z-,0.6292043,1.271567,-0.9686682
scissors_z-,0.6294396,1.271047,-0.9681754
scissors_z-,0.6298765,1.270387,-0.9677786
scissors_z-,0.6302166,1.269899,-0.9674457
scissors_z-,0.6308438,1.26818,-0.9676508
scissors_z-,0.6317841,1.267132,-0.9676138
scissors_z-,0.6325489,1.265919,-0.9684162
scissors_z-,0.6332515,1.265053,-0.9699153
scissors_z-,0.6338388,1.26493,-0.9704643
scissors_z-,0.6342329,1.264991,-0.9711226
scissors_z-,0.6347697,1.265017,-0.9719789
scissors_z-,0.6352236,1.265206,-0.9728135
scissors_z-,0.6357725,1.265422,-0.9739892
scissors_z-,0.6363702,1.265754,-0.9752898
scissors_z-,0.6371155,1.265822,-0.9767581
scissors_z-,0.6385835,1.266563,-0.9801691
scissors_z-,0.63958,1.267137,-0.9826573
scissors_z-,0.6403114,1.267335,-0.9844968
scissors_z-,0.6408888,1.267397,-0.9862319
scissors_z-,0.6414845,1.267429,-0.9883488
scissors_z-,0.6420738,1.267261,-0.9905432
scissors_z-,0.6425669,1.267094,-0.9927276
scissors_z-,0.6429776,1.266868,-0.9953287
scissors_z-,0.643347,1.266487,-0.9977812
scissors_z-,0.6436112,1.266065,-0.9998475
scissors_z-,0.6437427,1.265554,-1.002415
scissors_z-,0.6437868,1.264807,-1.004929
scissors_z-,0.6434144,1.264157,-1.007885
scissors_z-,0.6427048,1.262374,-1.012936
scissors_z-,0.6415153,1.260309,-1.018416
scissors_z-,0.6405852,1.259238,-1.021617
scissors_z-,0.6400644,1.258744,-1.023615
scissors_z-,0.6396373,1.258403,-1.025262
scissors_z-,0.6391477,1.25809,-1.027137
scissors_z-,0.6385713,1.257816,-1.029037
scissors_z-,0.6380139,1.257553,-1.030929
scissors_z-,0.6373134,1.257414,-1.033105
scissors_z-,0.6364092,1.257403,-1.035197
scissors_z-,0.6352399,1.257627,-1.037195
scissors_z-,0.6336149,1.257755,-1.040502
scissors_z-,0.6318811,1.257488,-1.04359
scissors_z-,0.6305363,1.257078,-1.046165
scissors_z-,0.6294239,1.256576,-1.048024
scissors_z-,0.6280877,1.256202,-1.050318
scissors_z-,0.6267458,1.255676,-1.052249
scissors_z-,0.6256985,1.255258,-1.053984
scissors_z-,0.6246018,1.254604,-1.056029
scissors_z-,0.6234784,1.253958,-1.057977
scissors_z-,0.6226812,1.253472,-1.059667
scissors_z-,0.6216701,1.252981,-1.061611
scissors_z-,0.6209,1.252271,-1.063641
scissors_z-,0.6203059,1.251747,-1.065573
scissors_z-,0.6195863,1.25116,-1.067717
scissors_z-,0.6188726,1.250994,-1.069545
scissors_z-,0.6180075,1.250067,-1.074809
scissors_z-,0.6179587,1.249791,-1.07753
scissors_z-,0.61778,1.24967,-1.079599
scissors_z-,0.6175143,1.249421,-1.081826
scissors_z-,0.6170741,1.249257,-1.083787
scissors_z-,0.6166752,1.249017,-1.086098
scissors_z-,0.616284,1.24883,-1.088392
scissors_z-,0.6160505,1.248732,-1.090205
scissors_z-,0.6155102,1.248771,-1.092425
scissors_z-,0.6155494,1.248581,-1.095867
scissors_z-,0.6149852,1.248492,-1.098241
scissors_z-,0.6148019,1.2482,-1.102951
scissors_z-,0.6148503,1.248052,-1.1058
scissors_z-,0.6148339,1.248063,-1.107365
scissors_z-,0.6147473,1.248147,-1.109018
scissors_z-,0.6147761,1.248089,-1.110407
scissors_z-,0.6147827,1.248139,-1.111682
scissors_z-,0.614531,1.248245,-1.1129
scissors_z-,0.6147317,1.248154,-1.11517
scissors_z-,0.615419,1.247748,-1.117443
scissors_z-,0.6147953,1.247683,-1.118496
scissors_z-,0.614859,1.247504,-1.120388
scissors_z-,0.6151838,1.247458,-1.122581
scissors_z-,0.61557,1.247461,-1.123706
scissors_z-,0.6155975,1.247848,-1.124732
scissors_z-,0.615988,1.248222,-1.125539
scissors_z-,0.6163022,1.248589,-1.126099
scissors_z-,0.6168677,1.249132,-1.126775
scissors_z-,0.6175616,1.249709,-1.127473
scissors_z-,0.6182394,1.250275,-1.128147
scissors_z-,0.6189904,1.250923,-1.128807
scissors_z-,0.6199257,1.25155,-1.129313
scissors_z-,0.6207982,1.252087,-1.129936
scissors_z-,0.6218642,1.252474,-1.130412
scissors_z-,0.6244885,1.253525,-1.131963
scissors_z-,0.6265993,1.254137,-1.133238
scissors_z-,0.62809,1.254352,-1.133872
scissors_z-,0.6300034,1.254498,-1.134409
scissors_z-,0.6322656,1.254479,-1.134679
scissors_z-,0.6367172,1.254665,-1.136408
scissors_z-,0.6395529,1.254828,-1.137206
scissors_z-,0.6422414,1.254948,-1.137903
scissors_z-,0.6455944,1.255387,-1.138639
scissors_z-,0.6486083,1.256013,-1.138811
scissors_z-,0.6556244,1.257213,-1.140286
scissors_z-,0.6585554,1.257951,-1.140666
scissors_z-,0.667513,1.258986,-1.143154
scissors_z-,0.6725817,1.259378,-1.144988
scissors_z-,0.6755596,1.259987,-1.146135
scissors_z-,0.6784752,1.260568,-1.146832
scissors_z-,0.6810133,1.261032,-1.147361
scissors_z-,0.6840414,1.261811,-1.148018
scissors_z-,0.6860867,1.262363,-1.148198
scissors_z-,0.6913837,1.26318,-1.149634
scissors_z-,0.6937132,1.263425,-1.150428
scissors_z-,0.6955743,1.263653,-1.150987
scissors_z-,0.6979048,1.263885,-1.151157
scissors_z-,0.7020937,1.26457,-1.151432
scissors_z-,0.7049804,1.265025,-1.151684
scissors_z-,0.7064664,1.265404,-1.151651
scissors_z-,0.7080465,1.265646,-1.151674
scissors_z-,0.7097638,1.265807,-1.15167
scissors_z-,0.7109948,1.265944,-1.151621
scissors_z-,0.7123013,1.266152,-1.151251
scissors_z-,0.7138774,1.26618,-1.150785
scissors_z-,0.7160909,1.266427,-1.150423
scissors_z-,0.7172762,1.266469,-1.149936
scissors_z-,0.7181363,1.266472,-1.149549
scissors_z-,0.719062,1.266593,-1.148829
scissors_z-,0.7196156,1.266724,-1.148278
scissors_z-,0.7201886,1.266855,-1.147346
scissors_z-,0.7205516,1.267023,-1.14681
scissors_z-,0.7209412,1.267173,-1.146361
scissors_z-,0.7210873,1.267602,-1.145885
scissors_z-,0.7211463,1.268,-1.145243
scissors_z-,0.7212111,1.268354,-1.144544
scissors_z-,0.7212267,1.268851,-1.14375
scissors_z-,0.7210704,1.26928,-1.143154
scissors_z-,0.7210463,1.26951,-1.142395
scissors_z-,0.7207214,1.26979,-1.142127
scissors_z-,0.7201027,1.270095,-1.141418
scissors_z-,0.7195892,1.270264,-1.140916
scissors_z-,0.7189129,1.270512,-1.140182
scissors_z-,0.7174915,1.271135,-1.139235
scissors_z-,0.7162301,1.271816,-1.138003
scissors_z-,0.7154289,1.272142,-1.137251
scissors_z-,0.7144274,1.272604,-1.136497
scissors_z-,0.7130906,1.273078,-1.135555
scissors_z-,0.7116874,1.273613,-1.13435
scissors_z-,0.7104104,1.274274,-1.133327
scissors_z-,0.7091133,1.274786,-1.131724
scissors_z-,0.7075478,1.275362,-1.130195
scissors_z-,0.705583,1.275787,-1.128663
scissors_z-,0.702739,1.276647,-1.125443
scissors_z-,0.7010872,1.276737,-1.123728
scissors_z-,0.6994917,1.276662,-1.122134
scissors_z-,0.6980677,1.276638,-1.12071
scissors_z-,0.695691,1.276331,-1.118225
scissors_z-,0.6936858,1.276097,-1.116025
scissors_z-,0.692093,1.27608,-1.114101
scissors_z-,0.6895564,1.275978,-1.110836
scissors_z-,0.6881876,1.276061,-1.108928
scissors_z-,0.6866135,1.276044,-1.107315
scissors_z-,0.6839181,1.275902,-1.103737
scissors_z-,0.6827049,1.275831,-1.102181
scissors_z-,0.6813538,1.275652,-1.100292
scissors_z-,0.6800414,1.275521,-1.098525
scissors_z-,0.6786954,1.275105,-1.097385
scissors_z-,0.6762646,1.274162,-1.093802
scissors_z-,0.6751509,1.273342,-1.091422
scissors_z-,0.6741441,1.272932,-1.090029
scissors_z-,0.6732841,1.272467,-1.088405
scissors_z-,0.6726735,1.272086,-1.087419
scissors_z-,0.6721449,1.271589,-1.086066
scissors_z-,0.6713243,1.271472,-1.084462
scissors_z-,0.6707588,1.270492,-1.081589
scissors_z-,0.6704342,1.270216,-1.080297
scissors_z-,0.6703607,1.269564,-1.077742
scissors_z-,0.6711949,1.269663,-1.072622
scissors_z-,0.6718518,1.269917,-1.070753
scissors_z-,0.6730142,1.270212,-1.06835
scissors_z-,0.6743479,1.270715,-1.065815
scissors_z-,0.6751739,1.270824,-1.064507
scissors_z-,0.6772271,1.271246,-1.061697
scissors_z-,0.6793037,1.27123,-1.059149
scissors_z-,0.6815063,1.270847,-1.05709
scissors_z-,0.6847068,1.270064,-1.054389
scissors_z-,0.6865976,1.269971,-1.052965
scissors_z-,0.6895825,1.269846,-1.051015
scissors_z-,0.69316,1.269898,-1.049362
scissors_z-,0.6969349,1.270425,-1.047794
scissors_z-,0.7013094,1.271198,-1.046125
scissors_z-,0.7062917,1.271707,-1.044756
scissors_z-,0.7108153,1.271879,-1.043538
scissors_z-,0.7168186,1.271999,-1.042092
scissors_z-,0.7203214,1.272035,-1.040618
scissors_z-,0.7247657,1.271987,-1.039072
scissors_z-,0.7289129,1.271786,-1.037226
scissors_z-,0.7333428,1.271513,-1.035202
scissors_z-,0.737457,1.271226,-1.0333
scissors_z-,0.7416692,1.270932,-1.031328
scissors_z-,0.7476599,1.270478,-1.028633
scissors_z-,0.7505025,1.270279,-1.027094
scissors_z-,0.7548988,1.269862,-1.025022
scissors_z-,0.7586982,1.269395,-1.022928
scissors_z-,0.7622669,1.268891,-1.020885
scissors_z-,0.7661266,1.268289,-1.01882
scissors_z-,0.7692317,1.267673,-1.017359
scissors_z-,0.7713458,1.267438,-1.01601
scissors_z-,0.77433,1.266733,-1.014814
scissors_z-,0.777259,1.266379,-1.012794
scissors_z-,0.7804219,1.265669,-1.010921
scissors_z-,0.782995,1.265107,-1.009551
scissors_z-,0.7854357,1.264629,-1.008173
scissors_z-,0.7877546,1.264284,-1.006451
scissors_z-,0.789749,1.263909,-1.004863
scissors_z-,0.7918854,1.263558,-1.003516
scissors_z-,0.7947125,1.262877,-1.001945
