Scene,Start,End,Grasp
hammer_y-,1528901442925,1528901477046,1528901475035
foambrick_z+,1528901477747,1528901483153,1528901481280
foambrick_z-,1528901483847,1528901491430,1528901489819
spoon_y+,1528901492108,1528901501516,1528901499292
pottedmeatcan_z-,1528901502235,1528901507910,1528901505703
largemarker_y+,1528901508646,1528901515871,1528901513389
pottedmeatcan_y-,1528901516677,1528901525235,1528901522743
largemarker_z+,1528901526073,1528901532609,1528901530887
largemarker_x+,1528901533472,1528901539143,1528901537363
banana_z-,1528901539896,1528901546701,1528901545111
crackerbox_z+,1528901547374,1528901558115,1528901554892
orange_x-,1528901558828,1528901566272,1528901564116
lego_z-,1528901566975,1528901573289,1528901570970
sponge_z-,1528901574864,1528901581691,1528901580072
foambrick_y-,1528901582791,1528901589272,1528901586876
foambrick_y+,1528901590149,1528901595259,1528901593190
gelatinbox_y+,1528901595922,1528901602279,1528901600045
mustardbottle_y-,1528901603036,1528901609520,1528901606122
scissors_y+,1528901610323,1528901616787,1528901614990
bleachcleanser_z+,1528901617565,1528901622972,1528901621480
hammer_y+,1528901623650,1528901628348,1528901626456
mug_x-,1528901629309,1528901633762,1528901632137
bleachcleanser_x+,1528901634404,1528901640736,1528901638040
hammer_z-,1528901641697,1528901645732,1528901644257
sponge_x+,1528901646364,1528901654281,1528901652536
pottedmeatcan_y+,1528901655123,1528901661802,1528901659391
spoon_x-,1528901662404,1528901666789,1528901665311
mustardbottle_x-,1528901667657,1528901672214,1528901670511
hammer_z+,1528901672924,1528901678038,1528901676351
pottedmeatcan_x+,1528901678738,1528901683921,1528901681843
lego_y-,1528901684628,1528901690309,1528901688191
banana_y+,1528901690939,1528901695348,1528901693204
bleachcleanser_y-,1528901696054,1528901700988,1528901699085
scissors_x-,1528901701606,1528901707189,1528901705393
orange_y-,1528901707898,1528901712604,1528901710524
banana_x-,1528901713314,1528901718694,1528901717153
lego_x-,1528901719326,1528901723909,1528901722218
crackerbox_x-,1528901724485,1528901728882,1528901726843
sponge_z+,1528901729526,1528901733645,1528901732156
mediumclamp_x+,1528901734240,1528901738458,1528901736928
orange_z-,1528901739087,1528901743051,1528901741607
mediumclamp_y+,1528901743686,1528901749452,1528901746981
orange_x+,1528901750195,1528901754285,1528901752567
foambrick_x+,1528901754993,1528901759577,1528901757793
mediumclamp_x-,1528901760222,1528901764392,1528901762874
bleachcleanser_x-,1528901765058,1528901768909,1528901767101
mug_y+,1528901769529,1528901773710,1528901771728
sponge_x-,1528901774367,1528901779312,1528901777514
spoon_z-,1528901779967,1528901784606,1528901783008
mediumclamp_y-,1528901785301,1528901791026,1528901788842
mustardbottle_x+,1528901792056,1528901797298,1528901795229
pottedmeatcan_z+,1528901798128,1528901802819,1528901801196
mug_z+,1528901803688,1528901810043,1528901808412
gelatinbox_z-,1528901810741,1528901816524,1528901814915
sponge_y+,1528901817194,1528901823808,1528901821954
hammer_x+,1528901824514,1528901829253,1528901827645
largemarker_x-,1528901829901,1528901834443,1528901832892
largemaker_z-,1528901835062,1528901839619,1528901838398
mediumclamp_z+,1528901840356,1528901844443,1528901842890
gelatinbox_y-,1528901845058,1528901849641,1528901847847
mug_z-,1528901850317,1528901855020,1528901853260
banana_z+,1528901855657,1528901859377,1528901857904
spoon_x+,1528901859971,1528901865527,1528901863971
bleachcleanser_z-,1528901869341,1528901874100,1528901872046
crackerbox_y-,1528901874769,1528901879380,1528901877356
crackerbox_x+,1528901879956,1528901884300,1528901882343
scissors_z+,1528901884944,1528901889057,1528901887460
gelatinbox_x+,1528901889650,1528901893956,1528901892076
bleachcleanser_y+,1528901894878,1528901900040,1528901898090
pottedmeatcan_x-,1528901901730,1528901905697,1528901903753
mustardbottle_z-,1528901917558,1528901926788,1528901923792
crackerbox_y+,1528901927599,1528901933273,1528901930435
lego_y+,1528901934372,1528901942926,1528901941022
orange_y+,1528901943584,1528901947510,1528901945609
orange_z+,1528901948359,1528901952338,1528901950569
gelatinbox_x-,1528901953064,1528901959219,1528901957515
mediumclamp_z-,1528901959879,1528901963911,1528901962661
scissors_x+,1528901964573,1528901968552,1528901967103
lego_x+,1528901969259,1528901973594,1528901971916
hammer_x-,1528901974252,1528901977791,1528901976356
lego_z+,1528901978398,1528901981819,1528901980459
banana_x+,1528901982560,1528901985699,1528901984558
spoon_y-,1528901986332,1528901991821,1528901989902
gelatinbox_z+,1528901992721,1528902000899,1528901999156
largemaker_y-,1528902001627,1528902007499,1528902005909
banana_y-,1528902008494,1528902012900,1528902011210
sponge_y-,1528902013574,1528902017903,1528902016260
spoon_z+,1528902018627,1528902024458,1528902023198
mug_y-,1528902025133,1528902033556,1528902030464
mustardbottle_y+,1528902034894,1528902038915,1528902037490
mustardbottle_z+,1528902039867,1528902044808,1528902043119
scissors_z-,1528902045333,1528902049302,1528902048145
crackerbox_z-,1528902050119,1528902056289,1528902054247
foambrick_x-,1528902056959,1528902062754,1528902061092
scissors_y-,1528902064746,1528902069088,1528902067373
mug_x+,1528902069682,1528902082047,1528902077399
