Scene,Start,End,Grasp
lego_x+,1529328341150,1529328365187,1529328363322
gelatinbox_y+,1529328365949,1529328372800,1529328371319
sponge_y-,1529328373811,1529328382649,1529328381051
mustardbottle_y-,1529328383225,1529328388168,1529328386735
mustardbottle_x-,1529328388749,1529328392678,1529328391628
mediumclamp_y+,1529328393309,1529328398055,1529328396626
pottedmeatcan_x-,1529328398625,1529328402907,1529328401658
banana_y-,1529328403470,1529328408237,1529328406699
mug_y-,1529328408764,1529328413139,1529328411697
largemarker_x+,1529328413791,1529328418243,1529328416983
gelatinbox_y-,1529328418937,1529328423437,1529328421930
banana_y+,1529328424012,1529328428265,1529328426722
sponge_y+,1529328428951,1529328434477,1529328432862
scissors_z+,1529328435152,1529328439459,1529328438058
bleachcleanser_y-,1529328440138,1529328446470,1529328444932
orange_y-,1529328447071,1529328451512,1529328450090
orange_x+,1529328452026,1529328455935,1529328454768
spoon_x-,1529328456445,1529328460298,1529328459170
orange_z+,1529328460844,1529328464917,1529328463648
bleachcleanser_x-,1529328465594,1529328469340,1529328468330
foambrick_z-,1529328469844,1529328474339,1529328473131
sponge_x+,1529328474912,1529328478711,1529328477511
bleachcleanser_z-,1529328479312,1529328484111,1529328482898
hammer_y+,1529328484671,1529328489081,1529328487419
sponge_z+,1529328489872,1529328493564,1529328492381
banana_x+,1529328494271,1529328498179,1529328496795
lego_y+,1529328498780,1529328503296,1529328501753
hammer_y-,1529328503966,1529328508730,1529328507340
scissors_y-,1529328509259,1529328513828,1529328512394
pottedmeatcan_z-,1529328514273,1529328518225,1529328517061
gelatinbox_z+,1529328518727,1529328522251,1529328521112
pottedmeatcan_z+,1529328522832,1529328527071,1529328525955
gelatinbox_z-,1529328527646,1529328531150,1529328530088
mediumclamp_x+,1529328531753,1529328535112,1529328533928
bleachcleanser_y+,1529328535700,1529328539164,1529328537991
bleachcleanser_z+,1529328539980,1529328543474,1529328542379
orange_y+,1529328544140,1529328547626,1529328546074
pottedmeatcan_y+,1529328548326,1529328551472,1529328550182
orange_z-,1529328552033,1529328555951,1529328554741
mustardbottle_y+,1529328556460,1529328560177,1529328558954
mug_y+,1529328560874,1529328564539,1529328563206
orange_x-,1529328565262,1529328568829,1529328567595
spoon_z+,1529328569368,1529328572752,1529328571642
hammer_z-,1529328573354,1529328577352,1529328576230
foambrick_y-,1529328577927,1529328582228,1529328580830
largemaker_y-,1529328582795,1529328586605,1529328585432
mediumclamp_z-,1529328587008,1529328590650,1529328589635
crackerbox_x-,1529328591090,1529328594751,1529328593815
banana_z-,1529328595416,1529328599342,1529328598418
mustardbottle_z+,1529328599901,1529328603166,1529328602102
largemarker_z+,1529328603928,1529328607594,1529328606409
mediumclamp_y-,1529328608216,1529328613033,1529328611262
spoon_y+,1529328613543,1529328619437,1529328618196
mug_x-,1529328620016,1529328623261,1529328622170
crackerbox_x+,1529328624044,1529328627873,1529328626555
spoon_z-,1529328628464,1529328631813,1529328630835
mediumclamp_x-,1529328632383,1529328635074,1529328634356
foambrick_z+,1529328635817,1529328639245,1529328638116
hammer_x-,1529328639862,1529328643303,1529328642276
largemarker_x-,1529328643816,1529328646842,1529328645971
mediumclamp_z+,1529328647396,1529328650355,1529328649383
largemaker_z-,1529328651032,1529328654053,1529328653195
largemarker_y+,1529328654729,1529328657701,1529328656659
lego_z-,1529328658503,1529328661840,1529328660847
spoon_x+,1529328662478,1529328666196,1529328664598
foambrick_y+,1529328667231,1529328672143,1529328670622
mug_x+,1529328672850,1529328676661,1529328675452
lego_y-,1529328677316,1529328681768,1529328680265
hammer_z+,1529328682264,1529328686195,1529328684998
foambrick_x+,1529328686796,1529328690180,1529328689050
lego_z+,1529328690731,1529328694290,1529328693158
banana_z+,1529328694930,1529328698241,1529328697199
gelatinbox_x-,1529328698997,1529328703854,1529328702881
mustardbottle_x+,1529328704451,1529328708289,1529328707091
crackerbox_y+,1529328708985,1529328712830,1529328711598
pottedmeatcan_y-,1529328713705,1529328717783,1529328716520
mug_z-,1529328718318,1529328722275,1529328721307
sponge_z-,1529328722879,1529328726743,1529328725692
scissors_z-,1529328727345,1529328731076,1529328730065
spoon_y-,1529328731633,1529328736371,1529328734772
pottedmeatcan_x+,1529328736759,1529328740143,1529328739037
crackerbox_z-,1529328740718,1529328744503,1529328743479
crackerbox_y-,1529328745079,1529328749161,1529328747772
scissors_y+,1529328749678,1529328754445,1529328752837
sponge_x-,1529328755220,1529328758570,1529328757749
lego_x-,1529328759173,1529328762930,1529328762036
hammer_x+,1529328763546,1529328766761,1529328765533
foambrick_x-,1529328767331,1529328770799,1529328769975
scissors_x-,1529328771374,1529328774264,1529328773307
crackerbox_z+,1529328774852,1529328778105,1529328777002
scissors_x+,1529328778847,1529328782354,1529328781343
gelatinbox_x+,1529328782892,1529328785766,1529328784744
mustardbottle_z-,1529328786333,1529328789487,1529328788381
mug_z+,1529328790221,1529328793630,1529328792607
banana_x-,1529328794360,1529328798313,1529328797461
bleachcleanser_x+,1529328798866,1529328803286,1529328802265
