Scene,Camera X,Camera Y,Camera Z
mediumclamp_z+,0.9078223,1.261245,-1.115654
mediumclamp_z+,0.9148387,1.260297,-1.108483
mediumclamp_z+,0.9218348,1.259481,-1.100927
mediumclamp_z+,0.9293266,1.258755,-1.093355
mediumclamp_z+,0.9345962,1.257969,-1.086877
mediumclamp_z+,0.9417267,1.25645,-1.078756
mediumclamp_z+,0.9475052,1.255085,-1.073373
mediumclamp_z+,0.951322,1.254015,-1.068871
mediumclamp_z+,0.9551234,1.253109,-1.06449
mediumclamp_z+,0.9587306,1.252259,-1.060689
mediumclamp_z+,0.9618796,1.251412,-1.057688
mediumclamp_z+,0.9649757,1.250643,-1.053986
mediumclamp_z+,0.967106,1.249789,-1.052268
mediumclamp_z+,0.9685158,1.248775,-1.050838
mediumclamp_z+,0.9695951,1.247787,-1.04952
mediumclamp_z+,0.9704126,1.246843,-1.048164
mediumclamp_z+,0.9706254,1.246214,-1.048109
mediumclamp_z+,0.9706054,1.245719,-1.047761
mediumclamp_z+,0.9701625,1.245056,-1.046987
mediumclamp_z+,0.9693601,1.244448,-1.046844
mediumclamp_z+,0.9690781,1.243993,-1.047042
mediumclamp_z+,0.9679288,1.243873,-1.047203
mediumclamp_z+,0.9668262,1.243252,-1.046784
mediumclamp_z+,0.9660282,1.242998,-1.046771
mediumclamp_z+,0.9648785,1.242327,-1.047048
mediumclamp_z+,0.963087,1.241971,-1.047195
mediumclamp_z+,0.9611587,1.241679,-1.04646
mediumclamp_z+,0.9601536,1.241687,-1.046197
mediumclamp_z+,0.958846,1.2417,-1.045724
mediumclamp_z+,0.9576652,1.241647,-1.045063
mediumclamp_z+,0.9564525,1.241603,-1.04437
mediumclamp_z+,0.9554977,1.2412,-1.043472
mediumclamp_z+,0.9548919,1.241227,-1.04263
mediumclamp_z+,0.9545608,1.241004,-1.042396
mediumclamp_z+,0.9539955,1.240738,-1.042104
mediumclamp_z+,0.9537758,1.240653,-1.041382
mediumclamp_z+,0.9534786,1.240715,-1.040573
mediumclamp_z+,0.95307,1.240656,-1.040299
mediumclamp_z+,0.9529919,1.240602,-1.04013
mediumclamp_z+,0.9531673,1.240673,-1.039958
mediumclamp_z+,0.9534888,1.240939,-1.040268
mediumclamp_z+,0.9600444,1.241054,-1.04266
mediumclamp_z+,0.9643198,1.241301,-1.041652
mediumclamp_z+,0.9652415,1.241416,-1.041825
mediumclamp_z+,0.9663,1.241596,-1.041593
mediumclamp_z+,0.9671227,1.241804,-1.041701
mediumclamp_z+,0.9675994,1.241756,-1.041468
mediumclamp_z+,0.9673323,1.241971,-1.040918
mediumclamp_z+,0.9674222,1.242059,-1.040516
mediumclamp_z+,0.9679746,1.242111,-1.040382
mediumclamp_z+,0.9685789,1.242291,-1.040136
mediumclamp_z+,0.9693366,1.242236,-1.039599
mediumclamp_z+,0.9698267,1.242258,-1.038936
mediumclamp_z+,0.9704996,1.242357,-1.038079
mediumclamp_z+,0.9706553,1.242361,-1.036903
mediumclamp_z+,0.9706154,1.242515,-1.03511
mediumclamp_z+,0.9712521,1.242518,-1.033425
mediumclamp_z+,0.9716832,1.242377,-1.031698
mediumclamp_z+,0.9722354,1.242035,-1.02902
mediumclamp_z+,0.9721254,1.241827,-1.026208
mediumclamp_z+,0.9727518,1.241424,-1.024457
mediumclamp_z+,0.9731365,1.241169,-1.022082
mediumclamp_z+,0.9736315,1.240953,-1.018957
mediumclamp_z+,0.9746404,1.240533,-1.016113
mediumclamp_z+,0.9756836,1.240159,-1.013808
mediumclamp_z+,0.9776019,1.239728,-1.008929
mediumclamp_z+,0.9787356,1.239471,-1.005017
mediumclamp_z+,0.9796506,1.239122,-1.00081
mediumclamp_z+,0.9808703,1.238448,-0.9969883
mediumclamp_z+,0.9820183,1.237428,-0.9924129
mediumclamp_z+,0.9832503,1.236148,-0.9880662
mediumclamp_z+,0.9845406,1.234953,-0.9839192
mediumclamp_z+,0.9864511,1.23312,-0.9767926
mediumclamp_z+,0.9879059,1.231465,-0.9716882
mediumclamp_z+,0.9896133,1.230011,-0.9676075
mediumclamp_z+,0.9905051,1.228797,-0.9632376
mediumclamp_z+,0.9911821,1.22713,-0.958387
mediumclamp_z+,0.9920163,1.225589,-0.9537606
mediumclamp_z+,0.9929764,1.223987,-0.9498159
orange_y-,0.9217688,1.231961,-0.9838917
orange_y-,0.9100483,1.234357,-0.995051
orange_y-,0.9012589,1.235818,-1.003769
orange_y-,0.8911846,1.237811,-1.01383
orange_y-,0.8800512,1.239893,-1.025039
orange_y-,0.8683029,1.242066,-1.036732
orange_y-,0.8548978,1.244073,-1.049666
orange_y-,0.8482178,1.245272,-1.055935
orange_y-,0.8416172,1.246461,-1.062035
orange_y-,0.8345726,1.247398,-1.069267
orange_y-,0.8286907,1.248091,-1.075521
orange_y-,0.8226467,1.248862,-1.081584
orange_y-,0.8177106,1.249598,-1.087139
orange_y-,0.8110324,1.25032,-1.095208
orange_y-,0.8070324,1.250841,-1.099787
orange_y-,0.8036757,1.25136,-1.104266
orange_y-,0.8000266,1.252156,-1.109066
orange_y-,0.7971804,1.252832,-1.112738
orange_y-,0.794957,1.253465,-1.116104
orange_y-,0.792641,1.254197,-1.119168
orange_y-,0.7901813,1.256119,-1.12247
orange_y-,0.7891497,1.258164,-1.12461
orange_y-,0.787947,1.260819,-1.125972
orange_y-,0.7871504,1.266237,-1.12592
orange_y-,0.7866334,1.272657,-1.12541
orange_y-,0.7855428,1.283027,-1.123548
orange_y-,0.7852951,1.291594,-1.123886
orange_y-,0.7842101,1.303826,-1.127623
orange_y-,0.7842471,1.314061,-1.130189
orange_y-,0.7842534,1.318805,-1.134236
orange_y-,0.7841848,1.32181,-1.138281
orange_y-,0.7841834,1.323825,-1.141448
orange_y-,0.7841306,1.325452,-1.143226
orange_y-,0.7838005,1.32738,-1.144367
orange_y-,0.7837852,1.329627,-1.145344
orange_y-,0.783778,1.330488,-1.146011
orange_y-,0.7839975,1.331943,-1.145968
orange_y-,0.7842818,1.333513,-1.145196
orange_y-,0.7842785,1.33425,-1.14483
orange_y-,0.7844384,1.335133,-1.144007
orange_y-,0.7850059,1.335962,-1.142506
orange_y-,0.7852097,1.336751,-1.141277
orange_y-,0.7858718,1.338026,-1.138939
orange_y-,0.7860895,1.338633,-1.13761
orange_y-,0.7862324,1.339172,-1.135044
orange_y-,0.7862368,1.340488,-1.132446
orange_y-,0.7863184,1.341183,-1.129653
orange_y-,0.7859431,1.341672,-1.126649
orange_y-,0.7861597,1.342406,-1.122722
orange_y-,0.786404,1.343382,-1.119726
orange_y-,0.7867205,1.344566,-1.116823
orange_y-,0.7873493,1.345621,-1.113909
orange_y-,0.7877849,1.346274,-1.111044
orange_y-,0.7883304,1.347146,-1.108094
orange_y-,0.7892234,1.348398,-1.103035
orange_y-,0.789591,1.348943,-1.099051
orange_y-,0.7900823,1.349417,-1.094843
orange_y-,0.7907214,1.349655,-1.091105
orange_y-,0.7912977,1.349997,-1.087336
orange_y-,0.7922067,1.349786,-1.083724
orange_y-,0.7930649,1.349577,-1.080355
orange_y-,0.7939115,1.350086,-1.078687
orange_y-,0.7947007,1.35074,-1.075882
orange_y-,0.7953656,1.350974,-1.073889
orange_y-,0.7960543,1.351542,-1.071879
orange_y-,0.7966195,1.351665,-1.070168
orange_y-,0.7967383,1.351813,-1.068457
orange_y-,0.7969164,1.351849,-1.066922
orange_y-,0.7968439,1.351669,-1.065329
orange_y-,0.7969877,1.35127,-1.063324
orange_y-,0.7970204,1.351136,-1.061952
orange_y-,0.7967389,1.350809,-1.060827
orange_y-,0.7966334,1.350518,-1.060348
orange_y-,0.7964889,1.3506,-1.059628
orange_y-,0.7961776,1.350362,-1.059013
orange_y-,0.7956932,1.349791,-1.058626
orange_y-,0.7945674,1.349984,-1.057819
orange_y-,0.7939721,1.34977,-1.057541
orange_y-,0.7935841,1.349387,-1.057248
orange_y-,0.7933449,1.349156,-1.056981
orange_y-,0.7932771,1.346658,-1.05767
orange_y-,0.7929729,1.344811,-1.056533
orange_y-,0.7916018,1.342376,-1.058889
orange_y-,0.7916918,1.341517,-1.059865
orange_y-,0.7903858,1.340562,-1.060603
orange_y-,0.7897649,1.340324,-1.061434
orange_y-,0.7889453,1.339553,-1.062292
orange_y-,0.7882531,1.339179,-1.062861
orange_y-,0.7875133,1.338808,-1.063452
orange_y-,0.7866378,1.33805,-1.064498
orange_y-,0.7854465,1.337408,-1.064875
orange_y-,0.7840788,1.336448,-1.065758
orange_y-,0.7820685,1.335035,-1.066708
orange_y-,0.7804598,1.334379,-1.066868
orange_y-,0.7789176,1.333339,-1.067621
orange_y-,0.7770351,1.3319,-1.068534
orange_y-,0.7751374,1.33051,-1.069411
orange_y-,0.7719124,1.328487,-1.070403
orange_y-,0.7694979,1.326954,-1.071537
orange_y-,0.7674083,1.325416,-1.072235
orange_y-,0.7653147,1.32312,-1.073359
orange_y-,0.7634715,1.321247,-1.074618
orange_y-,0.7615452,1.318331,-1.076443
orange_y-,0.759131,1.314907,-1.07893
orange_y-,0.7561443,1.312152,-1.081032
orange_y-,0.7540168,1.309232,-1.083328
orange_y-,0.7519582,1.306625,-1.085769
orange_y-,0.7501369,1.304119,-1.088076
orange_y-,0.7483483,1.301093,-1.090843
orange_y-,0.7463213,1.298642,-1.093654
orange_y-,0.7443967,1.296686,-1.095768
orange_y-,0.7414694,1.293311,-1.099156
orange_y-,0.7391366,1.29091,-1.1021
orange_y-,0.7371833,1.288954,-1.104414
orange_y-,0.7350861,1.286709,-1.106836
orange_y-,0.7327377,1.284519,-1.108989
orange_y-,0.7301986,1.282188,-1.111087
orange_y-,0.7284924,1.280453,-1.112469
orange_y-,0.7253419,1.277178,-1.114706
orange_y-,0.7226985,1.274654,-1.116266
orange_y-,0.7206216,1.272606,-1.117264
orange_y-,0.7186281,1.270374,-1.118256
orange_y-,0.7165261,1.268341,-1.118802
orange_y-,0.7144935,1.26632,-1.119455
orange_y-,0.7126865,1.264726,-1.119909
orange_y-,0.7102339,1.26275,-1.120299
orange_y-,0.708114,1.261313,-1.120497
orange_y-,0.7064785,1.260052,-1.120529
orange_y-,0.7050337,1.259197,-1.120423
orange_y-,0.7035512,1.258312,-1.120049
gelatinbox_z-,0.7120356,1.254887,-1.129053
gelatinbox_z-,0.7117844,1.255056,-1.129392
gelatinbox_z-,0.7116331,1.255165,-1.12974
gelatinbox_z-,0.7114058,1.255434,-1.129693
gelatinbox_z-,0.7109926,1.255504,-1.129698
gelatinbox_z-,0.7107763,1.255553,-1.129396
gelatinbox_z-,0.7104682,1.25556,-1.129395
gelatinbox_z-,0.71029,1.255306,-1.128849
gelatinbox_z-,0.7111798,1.254544,-1.128273
gelatinbox_z-,0.7134023,1.253974,-1.127256
gelatinbox_z-,0.7160043,1.253784,-1.125867
gelatinbox_z-,0.719397,1.253448,-1.12469
gelatinbox_z-,0.7235001,1.25349,-1.122922
gelatinbox_z-,0.7282936,1.253243,-1.121418
gelatinbox_z-,0.7348492,1.253118,-1.11929
gelatinbox_z-,0.7409654,1.253513,-1.117224
gelatinbox_z-,0.7479872,1.253852,-1.115137
gelatinbox_z-,0.7552215,1.253998,-1.112962
gelatinbox_z-,0.7625918,1.254148,-1.110992
gelatinbox_z-,0.7717605,1.254413,-1.108308
gelatinbox_z-,0.7810376,1.254289,-1.10606
gelatinbox_z-,0.7938525,1.253476,-1.102837
gelatinbox_z-,0.8044215,1.252886,-1.099918
gelatinbox_z-,0.8150119,1.252381,-1.097175
gelatinbox_z-,0.823433,1.252253,-1.094408
gelatinbox_z-,0.8328131,1.252171,-1.091652
gelatinbox_z-,0.8413002,1.252458,-1.088504
gelatinbox_z-,0.8507321,1.25304,-1.084957
gelatinbox_z-,0.864841,1.252634,-1.081204
gelatinbox_z-,0.8733196,1.252384,-1.07658
gelatinbox_z-,0.8823997,1.251685,-1.071478
gelatinbox_z-,0.8891554,1.250883,-1.067015
gelatinbox_z-,0.8978783,1.249786,-1.061698
gelatinbox_z-,0.9049839,1.248805,-1.056047
gelatinbox_z-,0.9116006,1.2475,-1.049634
gelatinbox_z-,0.9200069,1.245701,-1.041451
gelatinbox_z-,0.9264071,1.244207,-1.034601
gelatinbox_z-,0.933027,1.242509,-1.028625
gelatinbox_z-,0.9385073,1.240967,-1.02263
gelatinbox_z-,0.9430784,1.23999,-1.017712
gelatinbox_z-,0.9487076,1.238544,-1.012122
gelatinbox_z-,0.9534544,1.236985,-1.006208
gelatinbox_z-,0.9592616,1.23464,-0.9985852
gelatinbox_z-,0.963404,1.23266,-0.9920623
gelatinbox_z-,0.9661513,1.231088,-0.9868382
