Scene,Start,End,Grasp
gelatinbox_x-,1529418163778,1529418180857,1529418179182
pottedmeatcan_y-,1529418181679,1529418189219,1529418186998
orange_y-,1529418189759,1529418195378,1529418193611
largemarker_x-,1529418195973,1529418201006,1529418199528
lego_y+,1529418201664,1529418206140,1529418204355
mustardbottle_z-,1529418206974,1529418211700,1529418210514
bleachcleanser_x+,1529418212400,1529418217699,1529418216394
mediumclamp_y+,1529418218373,1529418224243,1529418222515
scissors_y+,1529418225080,1529418233740,1529418231636
largemarker_z+,1529418234481,1529418239019,1529418237582
foambrick_z-,1529418239760,1529418244610,1529418243423
foambrick_z+,1529418245295,1529418249073,1529418247942
foambrick_x+,1529418249746,1529418253341,1529418251995
mediumclamp_z-,1529418253881,1529418260180,1529418258717
hammer_y-,1529418260694,1529418266914,1529418264969
gelatinbox_z-,1529418267522,1529418271982,1529418270930
crackerbox_z+,1529418272667,1529418277645,1529418276277
bleachcleanser_y+,1529418278389,1529418282621,1529418280905
banana_x-,1529418283429,1529418287114,1529418286118
banana_y+,1529418287708,1529418291541,1529418290237
lego_y-,1529418292414,1529418297459,1529418295757
mug_x+,1529418298051,1529418304195,1529418302732
scissors_z-,1529418305307,1529418311341,1529418309918
spoon_z-,1529418312015,1529418317743,1529418316674
lego_x-,1529418318403,1529418322956,1529418321558
mediumclamp_z+,1529418323466,1529418327797,1529418326519
mustardbottle_z+,1529418328390,1529418336995,1529418335826
orange_x+,1529418337522,1529418341091,1529418339787
spoon_z+,1529418341695,1529418345209,1529418344160
hammer_x+,1529418345910,1529418349743,1529418348447
spoon_x+,1529418350350,1529418354729,1529418353424
sponge_y+,1529418355349,1529418362118,1529418360508
spoon_y+,1529418362869,1529418370529,1529418368972
mug_z-,1529418371310,1529418376783,1529418375387
lego_z+,1529418377404,1529418381985,1529418380734
mustardbottle_x-,1529418382898,1529418387423,1529418386414
hammer_z-,1529418387978,1529418393784,1529418392414
bleachcleanser_z-,1529418394352,1529418397997,1529418396974
gelatinbox_y-,1529418398604,1529418402558,1529418401150
foambrick_x-,1529418403064,1529418406490,1529418405187
sponge_y-,1529418407084,1529418411597,1529418409867
pottedmeatcan_x-,1529418412020,1529418416259,1529418415275
largemarker_y+,1529418416805,1529418421422,1529418420149
scissors_x+,1529418421992,1529418426664,1529418425376
mug_x-,1529418427165,1529418431958,1529418430816
sponge_x-,1529418432539,1529418436171,1529418435201
crackerbox_y-,1529418436806,1529418440692,1529418439308
spoon_y-,1529418441252,1529418445557,1529418444120
crackerbox_x-,1529418446032,1529418449931,1529418448909
pottedmeatcan_x+,1529418450566,1529418454519,1529418453076
mediumclamp_x-,1529418455066,1529418458384,1529418457308
mug_z+,1529418458925,1529418462331,1529418461001
mustardbottle_y+,1529418463112,1529418466504,1529418464989
banana_x+,1529418467192,1529418470959,1529418469864
gelatinbox_x+,1529418471552,1529418474560,1529418473375
hammer_x-,1529418475126,1529418478799,1529418477694
lego_z-,1529418479367,1529418485892,1529418484830
crackerbox_x+,1529418486488,1529418490263,1529418488990
scissors_x-,1529418490900,1529418494061,1529418492842
pottedmeatcan_z+,1529418494606,1529418497663,1529418496665
sponge_z+,1529418498314,1529418501746,1529418500652
largemaker_y-,1529418502420,1529418506347,1529418505064
scissors_z+,1529418506981,1529418509973,1529418509018
banana_z+,1529418510607,1529418513600,1529418512603
gelatinbox_z+,1529418514340,1529418517675,1529418516523
orange_z-,1529418518234,1529418521496,1529418520499
pottedmeatcan_y+,1529418522141,1529418526587,1529418525178
foambrick_y-,1529418527270,1529418533721,1529418532071
banana_y-,1529418534269,1529418539573,1529418538337
bleachcleanser_x-,1529418540055,1529418544188,1529418543151
crackerbox_y+,1529418544781,1529418548388,1529418547074
largemaker_z-,1529418549127,1529418557523,1529418556630
mustardbottle_x+,1529418558103,1529418560908,1529418559910
bleachcleanser_y-,1529418561715,1529418566109,1529418564780
banana_z-,1529418566756,1529418570149,1529418569379
mustardbottle_y-,1529418570755,1529418574935,1529418573538
pottedmeatcan_z-,1529418575542,1529418579908,1529418579153
mug_y+,1529418580570,1529418587590,1529418583244
scissors_y-,1529418589211,1529418593282,1529418591964
bleachcleanser_z+,1529418593943,1529418598470,1529418597179
sponge_z-,1529418599129,1529418603097,1529418602166
mediumclamp_x+,1529418603756,1529418608679,1529418607422
hammer_z+,1529418609276,1529418614495,1529418613267
orange_x-,1529418615316,1529418620189,1529418619113
spoon_x-,1529418620836,1529418625537,1529418624299
orange_y+,1529418626346,1529418630976,1529418629327
largemarker_x+,1529418631756,1529418635378,1529418634367
foambrick_y+,1529418636210,1529418641017,1529418639022
sponge_x+,1529418642060,1529418647229,1529418646153
gelatinbox_y+,1529418647956,1529418651253,1529418649968
mug_y-,1529418651943,1529418658043,1529418656542
orange_z+,1529418658717,1529418663452,1529418662368
mediumclamp_y-,1529418664225,1529418669590,1529418668223
hammer_y+,1529418670157,1529418675403,1529418673955
lego_x+,1529418676226,1529418680044,1529418678848
crackerbox_z-,1529418680691,1529418685232,1529418684301
