Scene,Start,End,Grasp
pottedmeatcan_y+,1529407924984,1529407942740,1529407939251
crackerbox_y+,1529407943453,1529407955631,1529407952517
lego_y+,1529407956268,1529407965416,1529407962774
sponge_y+,1529407966082,1529407974359,1529407971836
gelatinbox_z-,1529407974976,1529407983386,1529407981335
gelatinbox_y-,1529407983935,1529407991891,1529407989634
mug_z-,1529407992423,1529408001358,1529407999401
hammer_y+,1529408001936,1529408008631,1529408005892
lego_y-,1529408009308,1529408018807,1529408016279
crackerbox_y-,1529408019376,1529408025919,1529408023822
hammer_z-,1529408026670,1529408033666,1529408032296
sponge_y-,1529408034362,1529408047897,1529408045576
foambrick_y-,1529408048350,1529408054176,1529408052177
spoon_y-,1529408054724,1529408066933,1529408064868
lego_x-,1529408067470,1529408073345,1529408071802
mediumclamp_x+,1529408073883,1529408079800,1529408078244
orange_x-,1529408080441,1529408085094,1529408083703
mug_x-,1529408085630,1529408091588,1529408089867
gelatinbox_y+,1529408092004,1529408097895,1529408096136
mustardbottle_z-,1529408098591,1529408104627,1529408103454
mustardbottle_y-,1529408105325,1529408111827,1529408110281
crackerbox_z+,1529408112403,1529408118454,1529408116827
mediumclamp_y+,1529408119112,1529408129880,1529408127721
bleachcleanser_x+,1529408130564,1529408134921,1529408133604
mediumclamp_z+,1529408135338,1529408140919,1529408139230
orange_y+,1529408141459,1529408147148,1529408145192
largemaker_y-,1529408147792,1529408157534,1529408155642
mug_z+,1529408158151,1529408166626,1529408164938
bleachcleanser_z-,1529408167299,1529408171216,1529408170044
scissors_y+,1529408171738,1529408177841,1529408175657
spoon_x+,1529408178540,1529408186455,1529408184698
largemarker_z+,1529408186966,1529408194322,1529408192511
foambrick_z+,1529408194980,1529408199625,1529408197952
sponge_z-,1529408200287,1529408206670,1529408205579
scissors_x+,1529408207300,1529408214537,1529408213073
banana_x-,1529408215030,1529408221059,1529408219609
largemarker_x-,1529408221608,1529408227883,1529408226326
mediumclamp_y-,1529408228443,1529408235325,1529408233646
pottedmeatcan_y-,1529408235887,1529408240980,1529408239409
orange_z+,1529408241501,1529408246023,1529408244428
largemarker_y+,1529408246675,1529408254137,1529408252393
hammer_z+,1529408254714,1529408259964,1529408258195
pottedmeatcan_z-,1529408260618,1529408265097,1529408264061
mediumclamp_z-,1529408265742,1529408270365,1529408269128
foambrick_y+,1529408270914,1529408277872,1529408275982
bleachcleanser_x-,1529408278555,1529408284165,1529408282831
banana_y-,1529408284809,1529408290780,1529408288886
bleachcleanser_y-,1529408291355,1529408298699,1529408297051
orange_y-,1529408299143,1529408303965,1529408302246
gelatinbox_z+,1529408304556,1529408310286,1529408308714
foambrick_x+,1529408310876,1529408314976,1529408313780
foambrick_x-,1529408315756,1529408321401,1529408320101
crackerbox_x-,1529408321969,1529408327655,1529408326113
spoon_z+,1529408328244,1529408333427,1529408331900
pottedmeatcan_x+,1529408333997,1529408340336,1529408338828
lego_x+,1529408341090,1529408346625,1529408345046
mug_y-,1529408347219,1529408355763,1529408353100
orange_z-,1529408356412,1529408361841,1529408360647
pottedmeatcan_x-,1529408362477,1529408367191,1529408365643
mug_x+,1529408367757,1529408372824,1529408371274
crackerbox_z-,1529408373358,1529408378110,1529408376967
sponge_x+,1529408378757,1529408383152,1529408381914
banana_x+,1529408383585,1529408388004,1529408386888
mustardbottle_y+,1529408388691,1529408392512,1529408390968
orange_x+,1529408393185,1529408397258,1529408396182
spoon_x-,1529408397820,1529408403659,1529408402488
lego_z+,1529408404277,1529408408737,1529408407445
largemarker_x+,1529408409278,1529408413484,1529408412155
spoon_y+,1529408413998,1529408419098,1529408417062
scissors_z+,1529408419758,1529408424058,1529408422914
crackerbox_x+,1529408424586,1529408428979,1529408427875
spoon_z-,1529408429546,1529408434793,1529408433701
lego_z-,1529408435505,1529408439502,1529408438596
scissors_z-,1529408440160,1529408444260,1529408443144
foambrick_z-,1529408444866,1529408448885,1529408447744
mustardbottle_x-,1529408449481,1529408453168,1529408452077
sponge_z+,1529408453787,1529408457927,1529408456705
bleachcleanser_y+,1529408458572,1529408463766,1529408461905
mustardbottle_x+,1529408464547,1529408469153,1529408467844
mediumclamp_x-,1529408469546,1529408478153,1529408476463
scissors_y-,1529408478800,1529408494396,1529408492490
largemaker_z-,1529408494948,1529408500368,1529408499278
banana_y+,1529408501048,1529408505782,1529408504249
banana_z-,1529408506400,1529408511128,1529408510104
hammer_x-,1529408511774,1529408516105,1529408514879
sponge_x-,1529408516588,1529408522656,1529408521459
banana_z+,1529408523377,1529408527595,1529408526412
bleachcleanser_z+,1529408528238,1529408531996,1529408530847
gelatinbox_x-,1529408532636,1529408537021,1529408535773
hammer_y-,1529408537561,1529408544461,1529408542834
hammer_x+,1529408544922,1529408548928,1529408547719
gelatinbox_x+,1529408549548,1529408553302,1529408552146
scissors_x-,1529408553922,1529408558101,1529408557012
mug_y+,1529408558623,1529408563433,1529408561634
pottedmeatcan_z+,1529408564036,1529408573597,1529408572360
mustardbottle_z+,1529408574224,1529408578023,1529408576905
