Scene,Start,End,Grasp
pottedmeatcan_y+,1529586804463,1529586846530,1529586842866
crackerbox_y-,1529586847711,1529586861067,1529586858040
spoon_x-,1529586861683,1529586867852,1529586866320
sponge_z-,1529586868416,1529586873944,1529586872509
bleachcleanser_x-,1529586874497,1529586878413,1529586877227
scissors_z-,1529586878947,1529586883866,1529586882521
hammer_z-,1529586884347,1529586888812,1529586887482
crackerbox_x+,1529586889365,1529586892906,1529586891830
mustardbottle_z+,1529586893471,1529586897144,1529586895708
scissors_x+,1529586897764,1529586901755,1529586900454
gelatinbox_x+,1529586902378,1529586905440,1529586904214
foambrick_z+,1529586906084,1529586909908,1529586908777
pottedmeatcan_z-,1529586910605,1529586914668,1529586913532
mediumclamp_x-,1529586915244,1529586918626,1529586917534
gelatinbox_y-,1529586919179,1529586924455,1529586922732
pottedmeatcan_y-,1529586925045,1529586928787,1529586927300
spoon_y+,1529586929350,1529586935586,1529586931483
spoon_z+,1529586936605,1529586940467,1529586939149
sponge_x+,1529586941086,1529586944587,1529586943472
largemaker_y-,1529586945166,1529586949627,1529586948295
mediumclamp_y-,1529586950087,1529586953933,1529586952803
mediumclamp_x+,1529586954420,1529586959386,1529586957499
foambrick_y-,1529586960272,1529586965602,1529586964123
lego_y+,1529586966164,1529586969759,1529586968244
spoon_y-,1529586970350,1529586979808,1529586977861
mustardbottle_y-,1529586980380,1529586985345,1529586983900
mug_z-,1529586986008,1529586990909,1529586989845
sponge_y-,1529586991514,1529586995947,1529586994604
orange_y-,1529586996448,1529587000375,1529586999002
lego_z-,1529587000901,1529587004855,1529587003735
banana_z-,1529587005537,1529587010083,1529587008951
bleachcleanser_x+,1529587010674,1529587014643,1529587013510
mug_y+,1529587015150,1529587019589,1529587017888
mustardbottle_z-,1529587020178,1529587024375,1529587023335
scissors_y-,1529587025007,1529587029377,1529587027818
banana_x+,1529587029964,1529587033203,1529587031903
pottedmeatcan_x+,1529587033750,1529587037390,1529587035820
mustardbottle_x+,1529587038314,1529587042761,1529587041713
scissors_y+,1529587043714,1529587047123,1529587045548
bleachcleanser_y-,1529587047834,1529587052510,1529587051335
orange_z+,1529587053049,1529587058134,1529587056793
lego_x+,1529587058888,1529587061963,1529587060822
crackerbox_x-,1529587062750,1529587066390,1529587065274
mediumclamp_z-,1529587066939,1529587070579,1529587069620
pottedmeatcan_x-,1529587071090,1529587076095,1529587073512
largemarker_x-,1529587076740,1529587080565,1529587079447
mug_z+,1529587081182,1529587084578,1529587083327
orange_x-,1529587085278,1529587125580,1529587124010
gelatinbox_y+,1529587126091,1529587130020,1529587128586
largemarker_z+,1529587130876,1529587134779,1529587133517
crackerbox_y+,1529587135558,1529587139148,1529587137538
scissors_z+,1529587139905,1529587143313,1529587141955
hammer_x+,1529587144050,1529587149754,1529587147288
sponge_z+,1529587150493,1529587168114,1529587166412
crackerbox_z-,1529587168858,1529587174513,1529587172866
mediumclamp_z+,1529587175600,1529587183611,1529587182068
hammer_x-,1529587184425,1529587197213,1529587195666
hammer_y-,1529587198147,1529587204399,1529587202277
banana_y+,1529587205039,1529587209222,1529587207740
foambrick_x-,1529587209865,1529587212995,1529587212105
scissors_x-,1529587213439,1529587218538,1529587217398
spoon_x+,1529587219359,1529587223648,1529587222340
hammer_y+,1529587224213,1529587227625,1529587225997
largemarker_y+,1529587228355,1529587231915,1529587230439
sponge_x-,1529587232639,1529587236357,1529587235463
pottedmeatcan_z+,1529587236879,1529587240356,1529587239185
largemarker_x+,1529587240920,1529587244129,1529587243152
gelatinbox_x-,1529587244814,1529587247721,1529587247028
gelatinbox_z-,1529587248375,1529587252266,1529587251038
gelatinbox_z+,1529587252755,1529587256347,1529587255320
orange_y+,1529587256934,1529587260568,1529587258890
mug_x-,1529587261200,1529587264526,1529587263624
crackerbox_z+,1529587265107,1529587268260,1529587267211
bleachcleanser_z-,1529587268854,1529587272033,1529587271091
banana_x-,1529587272740,1529587275351,1529587274291
hammer_z+,1529587275800,1529587280821,1529587279689
lego_y-,1529587281387,1529587286516,1529587285183
bleachcleanser_z+,1529587287055,1529587290247,1529587289049
bleachcleanser_y+,1529587290842,1529587293688,1529587292398
lego_z+,1529587294281,1529587297767,1529587296383
spoon_z-,1529587298322,1529587301913,1529587300610
sponge_y+,1529587302602,1529587306409,1529587305025
banana_z+,1529587307055,1529587310376,1529587309063
mug_y-,1529587310994,1529587314586,1529587312903
mug_x+,1529587315382,1529587318196,1529587317090
foambrick_z-,1529587318814,1529587322647,1529587321576
foambrick_x+,1529587323270,1529587326061,1529587325024
largemaker_z-,1529587326796,1529587330775,1529587329719
banana_y-,1529587331337,1529587335502,1529587334066
mustardbottle_x-,1529587336015,1529587339050,1529587338023
mediumclamp_y+,1529587339606,1529587343008,1529587341507
lego_x-,1529587343683,1529587346837,1529587345720
mustardbottle_y+,1529587347343,1529587350888,1529587349520
orange_z-,1529587351442,1529587354702,1529587353680
orange_x+,1529587355216,1529587357584,1529587356678
foambrick_y+,1529587358148,1529587361115,1529587359719
